Header,Rk,Team,GP,G,GA,Sh,Sh%,ShA,SV%,PP%,PK%,SHG,SHGA,FO%,PIM,G/G,GA/G,S/G,SA/G,PIM/G,Age,Ht,Wt
Standard Team Statistics,1,Air Force,18,49,57,527,9.3,481,0.881,16.7,85.9,4,2,55.4,199,2.7,3.2,29.3,26.7,11.1,22.8,6-0.3,185.6
Standard Team Statistics,2,Alaska,15,54,37,446,12.1,396,0.907,23.6,80.5,3,1,51.9,180,3.6,2.5,29.7,26.4,12,22.11,6-0.1,187.7
Standard Team Statistics,3,Alaska-Anchorage,20,40,72,543,7.4,668,0.892,13,76.1,0,5,49.1,293,2,3.6,27.2,33.4,14.7,22.9,6-0.7,185.3
Standard Team Statistics,4,American Int'l,18,54,52,513,10.5,484,0.893,16.2,85.9,3,1,53.8,154,3,2.9,28.5,26.9,8.6,22.9,6-0.0,185.3
Standard Team Statistics,5,Arizona State,18,57,45,556,10.3,526,0.914,26.3,83.6,2,2,50.1,185,3.2,2.5,30.9,29.2,10.3,22.1,5-11.7,182.1
Standard Team Statistics,6,Army,16,37,69,417,8.9,530,0.87,18.9,78.3,2,6,45.3,161,2.3,4.3,26.1,33.1,10.1,22.6,5-11.9,185.9
Standard Team Statistics,7,Augustana,15,42,53,416,10.1,531,0.9,20.3,81.8,0,1,43.9,149,2.8,3.5,27.7,35.4,9.9,22.1,6-0.3,185.1
Standard Team Statistics,8,Bemidji State,18,53,63,505,10.5,475,0.867,17.5,71.7,0,1,46.8,117,2.9,3.5,28.1,26.4,6.5,22.4,5-11.7,180.7
Standard Team Statistics,9,Bentley,18,43,39,555,7.7,433,0.91,17.1,84.8,2,0,49.9,211,2.4,2.2,30.8,24.1,11.7,22.7,5-11.9,187
Standard Team Statistics,10,Boston College,17,65,39,540,12,494,0.921,28.6,92.3,3,1,47.5,166,3.8,2.3,31.8,29.1,9.8,20.9,6-0.2,183.1
Standard Team Statistics,11,Boston University,16,61,42,522,11.7,454,0.907,25.4,79,1,2,51.5,195,3.8,2.6,32.6,28.4,12.2,21.4,6-1.1,191.7
Standard Team Statistics,12,Bowling Green,20,47,60,592,7.9,639,0.906,14.7,84.5,1,3,54.4,196,2.4,3,29.6,32,9.8,22.2,6-0.1,186.7
Standard Team Statistics,13,Brown,12,30,39,328,9.1,383,0.898,14.3,80.6,1,1,51.6,76,2.5,3.3,27.3,31.9,6.3,21.1,6-0.3,186.4
Standard Team Statistics,14,Canisius,16,44,51,476,9.2,507,0.899,13.2,80.3,4,3,47.6,216,2.8,3.2,29.8,31.7,13.5,23.1,6-0.3,183.3
Standard Team Statistics,15,Clarkson,14,36,30,364,9.9,358,0.916,12.5,87.5,1,1,52.4,139,2.6,2.1,26,25.6,9.9,22.5,6-1.0,191.9
Standard Team Statistics,16,Colgate,16,51,50,511,10,468,0.893,17.6,76.7,3,1,48.2,161,3.2,3.1,31.9,29.3,10.1,22.7,6-0.6,183.5
Standard Team Statistics,17,Colorado College,16,49,43,458,10.7,458,0.906,9.7,80,2,2,54.2,169,3.1,2.7,28.6,28.6,10.6,21.1,5-11.7,183.2
Standard Team Statistics,18,Connecticut,17,44,46,583,7.5,475,0.903,13.6,87.3,1,4,50.3,163,2.6,2.7,34.3,27.9,9.6,22,6-0.5,188.8
Standard Team Statistics,19,Cornell,11,34,25,302,11.3,253,0.901,14.9,80,0,0,53.9,102,3.1,2.3,27.5,23,9.3,21.7,6-0.7,187.7
Standard Team Statistics,20,Dartmouth,11,23,30,306,7.5,348,0.914,17.4,83.7,0,3,46.9,108,2.1,2.7,27.8,31.6,9.8,21.1,6-0.0,186.9
Standard Team Statistics,21,Denver,18,94,58,561,16.8,463,0.875,23.8,78.3,5,0,50.7,204,5.2,3.2,31.2,25.7,11.3,21,6-0.4,190.2
Standard Team Statistics,22,Ferris State,16,39,57,530,7.4,529,0.892,15.4,69.5,0,1,50,165,2.4,3.6,33.1,33.1,10.3,22.1,5-11.6,185.7
