Header,Rk,Team,GP,G,GA,Sh,Sh%,ShA,SV%,PP%,PK%,SHG,SHGA,FO%,PIM,G/G,GA/G,S/G,SA/G,PIM/G,Age,Ht,Wt
Standard Team Statistics,1,Air Force,38,115,119,1176,9.8,1056,0.887,21.5,84.8,9,5,54.2,448,3,3.1,30.9,27.8,11.8,22.8,6-0.3,185.6
Standard Team Statistics,2,Alaska,34,110,86,1025,10.7,837,0.897,20.6,79.4,7,2,53.4,544,3.2,2.5,30.1,24.6,16,22.11,6-0.1,187.7
Standard Team Statistics,3,Alaska-Anchorage,34,95,105,992,9.6,1024,0.897,9.9,77.5,3,6,49,451,2.8,3.1,29.2,30.1,13.3,22.9,6-0.7,185.3
Standard Team Statistics,4,American Int'l,40,119,111,1186,10,1141,0.903,15.1,83.7,6,4,52.1,454,3,2.8,29.7,28.5,11.4,22.9,6-0.0,185.4
Standard Team Statistics,5,Arizona State,38,129,94,1124,11.5,1090,0.914,26.5,81.9,3,4,51.3,583,3.4,2.5,29.6,28.7,15.3,22.1,5-11.7,181.7
Standard Team Statistics,6,Army,35,93,139,1001,9.3,1145,0.879,16.8,75.4,3,10,46.5,355,2.7,4,28.6,32.7,10.1,22.6,5-11.9,185.9
Standard Team Statistics,7,Augustana,34,88,107,902,9.8,1189,0.91,19.7,82.6,2,2,46.1,296,2.6,3.1,26.5,35,8.7,22.1,6-0.3,185.1
Standard Team Statistics,8,Bemidji State,38,117,111,1131,10.3,1015,0.891,16.3,75.2,2,2,47.1,257,3.1,2.9,29.8,26.7,6.8,22.4,5-11.7,180.7
Standard Team Statistics,9,Bentley,35,95,82,1066,8.9,865,0.905,22.1,84.1,3,0,51.2,381,2.7,2.3,30.5,24.7,10.9,22.7,5-11.9,187
Standard Team Statistics,10,Boston College,39,179,87,1251,14.3,1114,0.922,29.9,88.6,7,2,49.8,385,4.6,2.2,32.1,28.6,9.9,20.9,6-0.2,183.1
Standard Team Statistics,11,Boston University,39,162,95,1287,12.6,1093,0.913,28.1,79.1,3,2,51.4,448,4.2,2.4,33,28,11.5,21.4,6-1.1,191.3
Standard Team Statistics,12,Bowling Green,36,86,116,1017,8.5,1184,0.902,18.6,80,3,4,52.8,405,2.4,3.2,28.3,32.9,11.3,22.1,6-0.2,187.3
Standard Team Statistics,13,Brown,30,61,98,783,7.8,975,0.899,14.9,80.5,1,6,48,207,2,3.3,26.1,32.5,6.9,21.1,6-0.3,186.4
Standard Team Statistics,14,Canisius,37,103,126,1127,9.1,1235,0.898,15.8,77.1,8,5,47,478,2.8,3.4,30.5,33.4,12.9,23.1,6-0.3,183.3
Standard Team Statistics,15,Clarkson,35,95,97,915,10.4,866,0.888,15.3,80.5,4,6,51.6,368,2.7,2.8,26.1,24.7,10.5,22.5,6-1.0,191.9
Standard Team Statistics,16,Colgate,36,120,112,1131,10.6,1078,0.896,26.4,74.6,3,4,49.2,303,3.3,3.1,31.4,29.9,8.4,22.7,6-0.6,183.5
Standard Team Statistics,17,Colorado College,37,111,93,1106,10,1064,0.913,16.9,82,4,4,55.7,361,3,2.5,29.9,28.8,9.8,21.1,5-11.7,183.2
Standard Team Statistics,18,Connecticut,36,90,105,1110,8.1,1121,0.906,13.7,83.2,2,5,50,401,2.5,2.9,30.8,31.1,11.1,22,6-0.5,188.8
Standard Team Statistics,19,Cornell,35,115,65,948,12.1,794,0.918,18.2,79,1,1,54.2,305,3.3,1.9,27.1,22.7,8.7,21.7,6-0.7,187.7
Standard Team Statistics,20,Dartmouth,32,92,91,907,10.1,931,0.902,21.6,80.6,2,4,50.3,303,2.9,2.8,28.3,29.1,9.5,21.1,6-0.0,186.9
Standard Team Statistics,21,Denver,42,198,119,1347,14.7,1165,0.898,22.9,77.6,7,2,49.9,418,4.7,2.8,32.1,27.7,10,21,6-0.4,190.2
Standard Team Statistics,22,Ferris State,36,83,125,1063,7.8,1200,0.896,13.8,74.4,0,4,49.8,303,2.3,3.5,29.5,33.3,8.4,22.1,5-11.6,185.7
Standard Team Statistics,23,Harvard,32,70,106,770,9.1,1026,0.897,22.2,77.9,2,2,45,228,2.2,3.3,24.1,32.1,7.1,21.1,6-0.2,180.2
Standard Team Statistics,24,Holy Cross,39,116,93,1209,9.6,1129,0.918,17.6,86.1,5,0,51.5,595,3,2.4,31,28.9,15.3,22.5,6-0.4,183.7
Standard Team Statistics,25,Lake Superior,38,114,113,1094,10.4,1197,0.906,22.2,83.6,4,4,45.8,347,3,3,28.8,31.5,9.1,22.5,5-11.8,184.6
Standard Team Statistics,26,Lindenwood,28,74,121,740,10,1178,0.897,14.8,73.6,4,4,47.1,503,2.6,4.3,26.4,42.1,18,22.6,6-1.6,191.2
Standard Team Statistics,27,Long Island,37,115,103,1102,10.4,912,0.887,25.8,75.8,4,7,54.6,525,3.1,2.8,29.8,24.6,14.2,22.11,6-0.4,188.4
Standard Team Statistics,28,Maine,37,119,94,1211,9.8,929,0.899,21.7,80.6,6,2,51.9,322,3.2,2.5,32.7,25.1,8.7,21.1,5-11.9,185.6
Standard Team Statistics,29,Mass.-Lowell,36,72,113,972,7.4,1042,0.892,12.4,77.8,1,5,50,352,2,3.1,27,28.9,9.8,22.6,6-0.5,192.3
Standard Team Statistics,30,Massachusetts,37,108,105,1069,10.1,1094,0.904,19.2,76.9,4,2,51.2,329,2.9,2.8,28.9,29.6,8.9,21.11,6-0.8,186.6
Standard Team Statistics,31,Mercyhurst,35,98,126,964,10.2,1313,0.904,17.9,75,2,6,44,363,2.8,3.6,27.5,37.5,10.4,22.6,6-0.0,182.9
Standard Team Statistics,32,Merrimack,35,98,114,970,10.1,1059,0.892,17.1,84.6,2,5,45.4,412,2.8,3.3,27.7,30.3,11.8,22.4,6-0.0,184.4
Standard Team Statistics,33,Miami,36,78,135,976,8,1122,0.88,13.2,77.6,2,4,46.6,335,2.2,3.8,27.1,31.2,9.3,22.8,6-0.9,188.2
Standard Team Statistics,34,Michigan,40,169,121,1395,12.1,1217,0.901,34.5,77.6,6,2,52.8,498,4.2,3,34.9,30.4,12.5,21.8,5-11.7,183
Standard Team Statistics,35,Michigan State,38,147,117,1365,10.8,1321,0.911,27.1,80,7,2,48.5,481,3.9,3.1,35.9,34.8,12.7,21.4,5-11.9,186.7
Standard Team Statistics,36,Michigan Tech,40,109,103,1298,8.4,1146,0.91,22.7,77.7,2,2,49.3,326,2.7,2.6,32.5,28.7,8.2,22.3,6-0.1,186.5
Standard Team Statistics,37,Minnesota,39,135,100,1280,10.5,1197,0.916,23.2,79.5,1,3,49.8,256,3.5,2.6,32.8,30.7,6.6,21.7,6-0.3,186.9
Standard Team Statistics,38,Minnesota State,37,111,96,1131,9.8,1040,0.908,20,81.7,3,4,51.4,307,3,2.6,30.6,28.1,8.3,22.11,5-11.7,179.1
Standard Team Statistics,39,Minnesota-Duluth,37,103,125,1078,9.6,1171,0.893,25,80.9,2,1,42.5,451,2.8,3.4,29.1,31.6,12.2,21.11,6-0.0,187.1
Standard Team Statistics,40,New Hampshire,36,106,89,1080,9.8,846,0.895,18.9,80.2,5,1,51.1,349,2.9,2.5,30,23.5,9.7,22.1,6-0.1,186.2
Standard Team Statistics,41,Niagara,39,111,122,1140,9.7,1211,0.899,23,80.3,5,2,52.2,446,2.8,3.1,29.2,31.1,11.4,22.9,6-0.1,182
Standard Team Statistics,42,North Dakota,40,151,105,1231,12.3,1061,0.901,25.5,81.7,3,1,51,303,3.8,2.6,30.8,26.5,7.6,22.3,6-0.3,189.1
Standard Team Statistics,43,Northeastern,36,113,97,1029,11,1129,0.914,25,84,3,4,55.1,258,3.1,2.7,28.6,31.4,7.2,22.1,6-0.2,188.8
Standard Team Statistics,44,Northern Michigan,34,83,105,939,8.8,981,0.893,22.6,75.6,4,4,51.8,438,2.4,3.1,27.6,28.9,12.9,22.7,6-0.5,187.7
Standard Team Statistics,45,Notre Dame,36,101,98,1151,8.8,1235,0.921,19.1,81.1,2,2,54.4,453,2.8,2.7,32,34.3,12.6,21.7,6-0.7,189.3
Standard Team Statistics,46,Ohio State,38,100,124,1221,8.2,1246,0.9,21.9,72.2,3,1,47.8,466,2.6,3.3,32.1,32.8,12.3,22.1,6-0.7,190.3
Standard Team Statistics,47,Omaha,40,117,112,1118,10.5,1246,0.91,18.4,78.6,2,2,53.6,433,2.9,2.8,28,31.2,10.8,22.4,5-11.8,186.3
Standard Team Statistics,48,Penn State,36,113,130,1372,8.2,990,0.869,19.7,76.6,1,8,48.9,331,3.1,3.6,38.1,27.5,9.2,22.2,5-11.6,181
Standard Team Statistics,49,Princeton,30,89,114,907,9.8,886,0.871,27.8,75.2,2,0,48.4,299,3,3.8,30.2,29.5,10,21.11,5-11.8,189.8
Standard Team Statistics,50,Providence,35,100,83,1199,8.3,809,0.897,19.3,82.8,2,2,51.3,361,2.9,2.4,34.3,23.1,10.3,21.7,6-0.8,191.1
Standard Team Statistics,51,Quinnipiac,39,160,79,1332,12,912,0.913,22.2,82.9,4,6,55,371,4.1,2,34.2,23.4,9.5,22,5-11.6,180.7
Standard Team Statistics,52,Rensselaer,37,93,150,900,10.3,1272,0.882,18.2,69.9,5,5,45.9,435,2.5,4.1,24.3,34.4,11.8,22.6,6-0.7,189.3
Standard Team Statistics,53,RIT,40,156,96,1432,10.9,1218,0.921,24,86.5,6,4,52.1,513,3.9,2.4,35.8,30.5,12.8,23.2,6-0.3,187.6
Standard Team Statistics,54,Robert Morris,39,94,142,1076,8.7,1553,0.909,19,74.8,2,6,47.1,493,2.4,3.6,27.6,39.8,12.6,23.1,5-11.9,181.3
Standard Team Statistics,55,Sacred Heart,36,91,113,985,9.2,1046,0.892,17.7,83.5,1,5,47.1,327,2.5,3.1,27.4,29.1,9.1,22.11,5-11.3,180.1
Standard Team Statistics,56,St. Cloud State,38,121,114,1170,10.3,1061,0.893,24.2,78.3,2,2,50.7,343,3.2,3,30.8,27.9,9,22.2,6-0.7,181.3
Standard Team Statistics,57,St. Lawrence,39,90,118,1126,8,1244,0.905,18.8,79.8,3,2,49,326,2.3,3,28.9,31.9,8.4,22.1,6-0.1,185.9
Standard Team Statistics,58,St. Thomas,37,97,105,1115,8.7,1104,0.905,17.4,78.6,5,4,50.4,351,2.6,2.8,30.1,29.8,9.5,22.5,6-0.9,188.1
Standard Team Statistics,59,Stonehill,36,62,213,748,8.3,1456,0.854,13.8,69.3,3,8,39.8,460,1.7,5.9,20.8,40.4,12.8,22.3,6-0.2,186.6
Standard Team Statistics,60,Union,37,123,121,1068,11.5,1051,0.885,21.2,87.2,8,3,51.6,433,3.3,3.3,28.9,28.4,11.7,22.7,6-0.4,187
Standard Team Statistics,61,Vermont,35,87,106,896,9.7,1045,0.899,10.6,78.7,3,10,49.4,411,2.5,3,25.6,29.9,11.7,22,6-0.9,190.5
