State / territory,Total area km2,Land area km2
Alaska,"1,723,337","1,477,953"
Texas,"695,662","676,587"
California,"423,967","403,466"
Montana,"380,831","376,962"
New Mexico,"314,917","314,161"
Arizona,"295,234","294,207"
Nevada,"286,380","284,332"
Colorado,"269,601","268,431"
Oregon,"254,799","248,608"
Wyoming,"253,335","251,470"
Michigan,"250,487","146,435"
Minnesota,"225,163","206,232"
Utah,"219,882","212,818"
Idaho,"216,443","214,045"
Kansas,"213,100","211,754"
Nebraska,"200,330","198,974"
South Dakota,"199,729","196,350"
Washington,"184,661","172,119"
North Dakota,"183,108","178,711"
Oklahoma,"181,037","177,660"
Missouri,"180,540","178,040"
Florida,"170,312","138,887"
Wisconsin,"169,635","140,268"
Georgia,"153,910","148,959"
Illinois,"149,995","143,793"
Iowa,"145,746","144,669"
New York,"141,297","122,057"
North Carolina,"139,391","125,920"
Arkansas,"137,732","134,771"
Alabama,"135,767","131,171"
Louisiana,"135,659","111,898"
Mississippi,"125,438","121,531"
Pennsylvania,"119,280","115,883"
Ohio,"116,098","105,829"
Virginia,"110,787","102,279"
Tennessee,"109,153","106,798"
Kentucky,"104,656","102,269"
Indiana,"94,326","92,789"
Maine,"91,633","79,883"
South Carolina,"82,933","77,857"
West Virginia,"62,756","62,259"
Maryland,"32,131","25,142"
Hawaii,"28,313","16,635"
Massachusetts,"27,336","20,202"
Vermont,"24,906","23,871"
New Hampshire,"24,214","23,187"
New Jersey,"22,591","19,047"
Connecticut,"14,357","12,542"
Puerto Rico,"13,791","8,868"
Delaware,"6,446","5,047"
Northern Mariana Islands,"5,117",472
Rhode Island,"4,001","2,678"
U.S. Virgin Islands,"1,898",348
American Samoa,"1,505",198
Guam,"1,478",543
District of Columbia,177,158
Minor Outlying Islands,41,41
Contiguous US,"8,081,869","7,653,006"
50 States,"9,833,342","9,147,436"
50 States and DC,"9,833,519","9,147,594"
United States,"9,857,306","9,158,022"
