Rk,Team,PCWs,RPI,Rk2,QWB-†,W-L-T,PwWin %,Wgtd Win % - ‡,Regional,T_Ranking
1,Boston College,63,0.6298,1,0.0102,31-5-1 (2-0),0.8333,0.8324,Providence,1
2,Boston University,62,0.6046,2,0.0083,26-9-2 (2-3),0.7387,0.7467,Sioux Falls,2
3,Denver,61,0.5976,3,0.0076,28-9-3 (3-1),0.7208,0.7214,Springfield,3
4,Michigan State,60,0.5906,4,0.0075,24-9-3 (0-1),0.7176,0.7226,St. Louis,4
5,Maine,58,0.5739,6,0.0053,23-11-2 (1-1),0.6667,0.674,Springfield,5
6,North Dakota,57,0.5874,5,0.0086,26-11-2 (3-4),0.7009,0.6909,St. Louis,6
7,Minnesota,57,0.5713,7,0.0077,22-10-5 (4-1),0.6351,0.6231,Sioux Falls,7
8,Wisconsin,56,0.5709,8,0.0051,26-11-2 (3-2),0.6838,0.6773,Providence,8
9,Quinnipiac,55,0.5701,9,0.0028,26-9-2 (1-5),0.7658,0.7729,Providence,9
10,Michigan,54,0.5602,10,0.0056,21-14-3 (1-1),0.5921,0.5866,St. Louis,10
11,Omaha,54,0.56,11,0.0073,23-12-4 (7-1),0.5897,0.5858,Sioux Falls,11
12,Cornell,52,0.5521,12,0.0025,21-6-6 (2-2),0.7273,0.7221,Springfield,12
13,Western Michigan,50,0.552,13,0.0063,21-15-1 (1-5),0.6171,0.6229,St. Louis,13
14,Massachusetts,50,0.5497,14,0.0028,20-13-3 (4-3),0.588,0.5863,Springfield,14
15,Colorado College,48,0.5493,15,0.0075,21-13-3 (5-2),0.5811,0.5633,,
16,Providence,48,0.5453,16,0.0053,18-13-4 (3-2),0.5619,0.5601,,
17,St. Cloud State,48,0.5429,17,0.0057,17-16-5 (1-5),0.5482,0.535,,
18,New Hampshire,46,0.5414,18,0.0041,20-15-1 (3-0),0.5417,0.5392,,
19,Northeastern,45,0.533,19,0.0068,17-16-3 (4-3),0.5046,0.5046,,
20,Arizona State,45,0.5308,20,0.0024,24-8-6 (6-2),0.6754,0.6394,,
21,RIT,43,0.5298,21,0.0003,27-10-2 (3-3),0.7179,0.7036,Sioux Falls,15
22,Notre Dame,42,0.5147,22,0.0049,15-19-2 (2-1),0.4352,0.412,,
23,Penn State,41,0.5141,23,0.0032,15-18-3 (0-1),0.4676,0.4608,,
24,Connecticut,40,0.5114,24,0.0024,15-19-2 (1-1),0.4444,0.4457,,
25,Alaska,39,0.5094,25,0.0003,17-14-3 (0-3),0.5735,0.5924,,
26,Ohio State,38,0.5076,26,0.0067,14-20-4 (1-0),0.4123,0.4152,,
27,American Int'l,37,0.5075,27,0.0003,20-16-4 (1-2),0.5583,0.5856,,
28,Holy Cross,36,0.5068,28,0,21-14-4 (0-4),0.6239,0.6084,,
29,Dartmouth,35,0.5061,29,0.0013,13-10-9 (1-1),0.5469,0.5465,,
30,Minnesota-Duluth,34,0.5057,30,0.003,12-20-5 (4-4),0.3919,0.3868,,
31,Bemidji State,33,0.4976,31,0.0007,20-16-2 (3-4),0.5614,0.5485,,
32,Michigan Tech,32,0.4961,32,0.0006,19-14-6 (3-2),0.5556,0.5439,Providence,16
33,Vermont,31,0.4959,33,0.0024,13-19-3 (2-1),0.4048,0.4106,,
34,Minnesota State,30,0.4951,34,0.0009,18-15-4 (3-2),0.5315,0.5349,,
35,Merrimack,29,0.495,35,0.001,13-21-1 (1-2),0.3952,0.3936,,
36,Colgate,27,0.4924,36,0.0022,16-16-4 (2-4),0.5185,0.5131,,
37,Clarkson,27,0.4883,37,0.0016,18-16-1 (6-3),0.5,0.4971,,
38,Union,26,0.4826,38,0.0007,16-18-3 (1-2),0.482,0.4871,,
