Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season,file,Unnamed: 0,No.,Name,Yr.,Ht.,Wt.,Team.1,Age
Lake Superior,Jack Blanchett,16.0,Defensemen,Fr,11-May,185.0,2003-05-12,"Monroe, Mich.",71.0,,,,Powell,BCHL,2023.0,roster_data_2023.csv,,,,,,,,7626
Lake Superior,Artyom Borshyov,23.0,Defensemen,Sr,3-Jun,210.0,2000-08-22,"Vitebsk, Belarus",75.0,,,,Youngstown,USHL,2023.0,roster_data_2023.csv,,,,,,,,8619
Lake Superior,Evan Bushy,5.0,Defensemen,Fr,1-Jun,195.0,2002-03-26,"Mankato, Minn.",73.0,,,,Trail,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8038
Lake Superior,Jacob Conrad,4.0,Defensemen,Fr,11-May,180.0,2002-05-18,"Green Bay, Wis.",71.0,,,,Fairbanks,NAHL,2023.0,roster_data_2023.csv,,,,,,,,7985
Lake Superior,Jeremy Gervais,25.0,Defensemen,Sr,11-May,180.0,1999-01-09,"Prince George, B.C.",71.0,,,,Salmon Arm,BCHL,2023.0,roster_data_2023.csv,,,,,,,,9210
Lake Superior,Grant Hindman,20.0,Defensemen,Jr,Jun-00,200.0,2002-05-16,"Oakland, Mich.",72.0,,,,Youngstown,USHL,2023.0,roster_data_2023.csv,,,,,,,,7987
Lake Superior,Bryan Huggins,2.0,Defensemen,So,11-May,180.0,2002-03-26,"Grand Rapids, Mich.",71.0,,,,Fargo,USHL,2023.0,roster_data_2023.csv,,,,,,,,8038
Lake Superior,Cam Kungle,24.0,Defensemen,Fr,3-Jun,202.0,2002-03-28,"Red Deer, Alb.",75.0,,,,Cranbrook,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8036
Lake Superior,Ross Roloson,6.0,Defensemen,Fr,11-May,175.0,2003-01-30,"Woodbury, Minn.",71.0,,,,Surrey,BCHL,2023.0,roster_data_2023.csv,,,,,,,,7728
Lake Superior,Nate Schweitzer,14.0,Defensemen,Jr,Jun-00,195.0,2002-02-21,"Champlin, Minn.",72.0,,,,Colorado College,NCHC,2023.0,roster_data_2023.csv,,,,,,,,8071
Lake Superior,Timo Bakos,22.0,Forwards,Jr,1-Jun,194.0,2000-07-28,"Augsburg, Germany",73.0,,,,Starbulls,Oberliga,2023.0,roster_data_2023.csv,,,,,,,,8644
Lake Superior,Carter Batchelder,18.0,Forwards,Fr,10-May,175.0,2003-02-25,"Savage, Minn.",70.0,,,,Des Moines,USHL,2023.0,roster_data_2023.csv,,,,,,,,7702
Lake Superior,Cole Craft,26.0,Forwards,Jr,2-Jun,195.0,2001-06-29,"North Bay, Ont.",74.0,,,,Lincoln,USHL,2023.0,roster_data_2023.csv,,,,,,,,8308
Lake Superior,John Herrington,28.0,Forwards,Fr,11-May,185.0,2002-04-19,"Hudson's Hope, B.C.",71.0,,,,Prince George,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8014
Lake Superior,Luke Levandowski,17.0,Forwards,Fr,Jun-00,165.0,2002-09-26,"Rosemount, Minn.",72.0,,,,Wisconsin,NAHL,2023.0,roster_data_2023.csv,,,,,,,,7854
Lake Superior,Reagan Milburn,12.0,Forwards,Fr,Jun-00,190.0,2003-02-13,"Kamloops, B.C.",72.0,,,,Vernon,BCHL,2023.0,roster_data_2023.csv,,,,,,,,7714
Lake Superior,Connor Milburn,9.0,Forwards,So,4-Jun,180.0,2001-04-11,"Kamloops, B.C.",76.0,,,,Chilliwack,BCHL,2023.0,roster_data_2023.csv,,,,,,,,8387
Lake Superior,Branden Piku,7.0,Forwards,Fr,8-May,165.0,2002-08-25,"Harrison Township, Mich.",68.0,,,,Maryland,NAHL,2023.0,roster_data_2023.csv,,,,,,,,7886
Lake Superior,Benito Posa,27.0,Forwards,Sr,1-Jun,190.0,1999-01-16,"Grand Blanc, Mich.",73.0,,,,Des Moines,USHL,2023.0,roster_data_2023.csv,,,,,,,,9203
Lake Superior,Brett Roloson,29.0,Forwards,Jr,11-May,160.0,2000-12-29,"Newport Beach, Calif.",71.0,,,,Minot,NAHL,2023.0,roster_data_2023.csv,,,,,,,,8490
Lake Superior,Harrison Roy,8.0,Forwards,Sr,1-Jun,194.0,2000-01-17,"Lakeville, Mass.",73.0,,,,Boston College,HEA,2023.0,roster_data_2023.csv,,,,,,,,8837
Lake Superior,Sasha Teleguine,10.0,Forwards,Fr,10-May,180.0,2002-09-17,"North Attleborough, Mass.",70.0,,,,Connecticut,HEA,2023.0,roster_data_2023.csv,,,,,,,,7863
