Cleaned_Penalty_Type,count
hooking,56756
tripping,54976
interference,54118
roughing,50406
holding,39098
slashing,37690
cross-checking,29144
boarding,18596
misconduct,14540
high-sticking,14354
checking from behind,11418
elbowing,10826
unsportsmanlike conduct,8950
charging,6644
kneeing,2318
delay of game,2200
embellishment,1734
highsticking,1386
game disqualification,960
facemasking,816
checking,722
fighting,628
clipping,354
disqualification,332
obstruction,252
spearing,246
bench,190
instigating,188
crosschecking,186
indirectelbowing,162
indirectroughing,150
roughingatw,112
highstick,98
indirect,94
rc,62
hk,52
highstickingatw,50
ot,40
facemask,38
eh,30
slewfooting,30
elbow,28
hr,26
kicking,26
indirecthighsticking,24
direct,22
rw,22
ra,20
hc,20
indelbowing,18
ci,18
elbowking,14
gf,12
hh,12
ud,12
co,12
incidentalelbowing,12
facewash,12
unsportsmanlike,10
indirecthighstick,10
indelbow,10
brokenstick,10
ig,10
excessiveroughness,8
rough,8
persistinginmisconduct,8
he,8
indhistick,8
ho,8
rg,8
embellishing,8
is,8
facewashing,8
ox,6
to,6
indirectcharging,6
dive,6
hd,6
ielbowing,6
em,6
indirectelbow,6
xh,6
sa,6
fn,6
ce,6
cs,6
rh,6
punching,6
un,6
indhisticking,4
embelishment,4
xc,4
indirectrough,4
indroughing,4
of,4
ht,4
instigation,4
xx,4
cw,4
indirectcrosschecking,4
incidentalhighsticking,4
sg,4
inadvertant,4
indhighstick,4
zz,4
iroughing,4
bodychecking,4
uw,4
taunting,4
ex,4
bc,4
crosschec,4
sl,4
us,4
tg,4
hook,4
ielbow,2
sw,2
cr,2
oq,2
hw,2
rt,2
tr,2
xe,2
incelbowing,2
incidental,2
gc,2
indirecth,2
cc,2
inadvertenthighsticking,2
indirectinterference,2
dl,2
incidentalelbow,2
major,2
in,2
interferenceonthegoalkeeper,2
tm,2
carryingmorethanonestick,2
ff,2
sprayingthegoallkeeper,2
ok,2
highstickingafterthewhi,2
be,2
mc,2
punch,2
cx,2
od,2
st,2
instigator,2
og,2
embellish,2
so,2
ib,2
ag,2
emblishment,2
lc,2
oo,2
embellishmen,2
slewfoot,2
hs,2
hg,2
vi,2
hl,2
gg,2
unintentionalelbowing,2
crosscheckingatw,2
oe,2
benchgamemisconduct,2
