Player,,,,,,,,,,,,,,,,,Last 5 Games,Season Avg,Team,,
Artem Shlaine,1.25,0.83,1.15,0.83,1.42,3.01,1.59,-0.57,3.75,3.20,0.00,0.00,1.53,0.18,2.07,2.88,1.66,1.65,Northern Michigan,,
Kristof Papp,1.63,0.87,-0.19,-0.12,1.78,0.76,0.93,0.48,1.14,3.81,0.28,0.25,1.58,1.65,0.84,0.77,1.02,1.03,Northern Michigan,,
Michael Colella,0.61,0.03,0.25,0.25,0.88,0.48,-0.27,-0.30,1.09,0.11,0.68,0.33,1.15,1.14,2.05,0.38,1.01,0.58,Northern Michigan,,
Isack Bandu,-0.25,-0.21,-0.07,-0.79,0.00,0.35,-0.25,0.76,0.38,0.35,0.73,0.00,0.00,0.43,2.89,-0.49,0.94,0.34,Northern Michigan,,
Connor Eddy,1.16,-0.42,0.82,0.28,-0.09,0.32,0.20,-0.70,1.75,1.56,-0.07,2.22,-1.13,1.83,1.11,0.43,0.89,0.60,Northern Michigan,,
Michael Mesic,1.84,-0.48,1.11,0.20,0.84,0.73,-0.25,0.26,1.59,0.36,0.38,0.50,-0.04,1.01,2.38,0.53,0.88,0.70,Northern Michigan,,
Andre Ghantous,1.47,3.11,0.79,-0.40,3.07,1.67,1.07,-0.25,1.28,0.86,2.26,1.69,-0.22,0.48,0.03,2.37,0.87,1.19,Northern Michigan,,
Tyrell Boucher,0.00,0.00,0.00,0.00,1.05,0.76,0.05,-0.09,0.00,0.00,0.00,1.36,0.00,0.00,0.10,0.00,0.73,0.57,Northern Michigan,,
Aiden Gallacher,0.23,0.13,0.68,0.53,0.89,2.09,0.15,0.33,0.68,1.34,2.12,2.06,-0.16,0.15,0.81,0.51,0.67,0.78,Northern Michigan,,
Josh Zinger,2.69,0.89,1.09,0.38,0.86,1.32,1.36,-0.09,1.14,1.94,-0.12,1.59,0.28,0.67,-0.25,1.05,0.67,0.91,Northern Michigan,,
Kevin Marx Noren,0.00,0.00,0.00,0.00,1.35,2.35,-0.40,-0.10,2.99,2.73,0.95,0.93,0.63,0.79,0.84,0.15,0.67,1.07,Northern Michigan,,
Matvei Kabanov,0.00,0.00,0.00,0.00,0.69,0.48,0.00,0.00,1.11,0.51,0.91,0.50,-0.25,0.00,1.96,0.31,0.63,0.69,Northern Michigan,,
Mitch Deelstra,0.06,0.86,0.50,0.39,0.28,0.00,0.10,0.51,0.75,0.00,0.41,0.15,-0.25,0.00,1.32,1.29,0.63,0.50,Northern Michigan,,
Reilly Funk,0.38,0.40,-0.15,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.61,0.34,Northern Michigan,,
Colby Enns,1.96,0.25,0.41,0.79,-0.15,0.00,0.00,-0.05,2.66,1.77,0.25,0.71,0.35,0.54,0.43,0.89,0.58,0.76,Northern Michigan,,
Jakob Peterson,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.52,0.00,0.00,0.00,0.00,0.20,0.43,0.38,0.86,0.47,0.30,Northern Michigan,,
Brendan Poshak,0.00,0.00,0.00,0.00,0.00,1.06,-0.15,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.25,0.35,Northern Michigan,,
Grant Slukynsky,0.43,-0.29,1.28,-0.10,1.79,0.15,-0.50,0.78,0.68,0.02,0.84,0.63,-0.48,0.51,0.43,-0.02,0.21,0.37,Northern Michigan,,
Viking Gustafsson Nyberg,-0.10,0.00,0.06,-0.40,0.00,1.42,0.99,0.70,0.54,0.48,0.69,-0.30,0.00,-0.07,0.66,0.20,0.12,0.36,Northern Michigan,,
Jack Perbix,0.65,0.14,0.08,-0.29,0.61,0.00,0.10,-0.70,0.16,-0.45,0.20,0.43,-0.20,-0.17,0.08,0.31,0.09,0.06,Northern Michigan,,
Rylan Van Unen,1.23,1.26,0.25,0.15,0.00,0.58,0.20,-0.92,1.14,1.44,0.54,0.73,-0.20,0.58,-0.15,-0.62,0.07,0.39,Northern Michigan,,
Jeppe Urup,0.00,0.00,-0.25,0.25,0.38,0.23,-0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,Northern Michigan,,
Zach Michaelis,0.00,0.00,0.00,0.13,0.00,-0.15,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,Northern Michigan,,
Tanner Latsch,2.76,2.38,1.19,0.86,0.31,0.00,0.00,0.00,0.00,0.00,1.35,0.31,-0.32,0.00,0.00,0.00,0.00,0.98,Northern Michigan,,
Michael Van Unen,0.96,0.81,0.00,0.00,0.00,0.00,0.00,0.00,2.42,1.27,2.32,-0.02,-0.25,0.00,0.00,0.00,-0.13,0.92,Northern Michigan,,
