Date,Conference,Game_Notes,Home_Team,Home_Team_Link,Home_Score,Away_Team,Away_Team_Link,Away_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2023-10-07,Exhibition,,McGill,,0,Vermont,/reports/team/Vermont/55,4,,/box/final/20231007/mcg/ver/,,Saturday,2023-10-07_McGill_Vermont
2023-10-07,Exhibition,,Merrimack,/reports/team/Merrimack/29,3,Sacred Heart,/reports/team/Sacred-Heart/51,2,ot,/box/final/20231007/mer/sac/,,Saturday,2023-10-07_Merrimack_Sacred Heart
2023-10-07,Exhibition,,Union,/reports/team/Union/54,2,Rensselaer,/reports/team/Rensselaer/48,2,ot,/box/final/20231007/uni/ren/,,Saturday,2023-10-07_Union_Rensselaer
2023-10-07,Exhibition,,Royal Military,,3,Niagara,/reports/team/Niagara/39,8,,/box/final/20231007/rmc/nia/,,Saturday,2023-10-07_Royal Military_Niagara
2023-10-07,Exhibition,"at Alfond Arena (Waterville), Waterville, Maine",New Hampshire,/reports/team/New-Hampshire/38,2,Maine,/reports/team/Maine/25,3,,/box/final/20231007/unh/mne/,,Saturday,2023-10-07_New Hampshire_Maine
2023-10-07,Exhibition,,Western Michigan,/reports/team/Western-Michigan/57,9,US Under-18,,4,,/box/final/20231007/wmu/u18/,,Saturday,2023-10-07_Western Michigan_US Under-18
2023-10-07,Exhibition,,Manitoba,,0,North Dakota,/reports/team/North-Dakota/40,10,,/box/final/20231007/mtb/ndk/,,Saturday,2023-10-07_Manitoba_North Dakota
2023-10-07,Exhibition,,Omaha,/reports/team/Omaha/37,1,Minnesota State,/reports/team/Minnesota-State/35,0,,/box/final/20231007/uno/mns/,,Saturday,2023-10-07_Omaha_Minnesota State
2023-10-07,Exhibition,,Simon Fraser,,3,Colorado College,/reports/team/Colorado-College/16,6,,/box/final/20231007/sfr/cc_/,,Saturday,2023-10-07_Simon Fraser_Colorado College
2023-10-07,Non-Conference,,Lake Superior,/reports/team/Lake-Superior/24,2,Michigan State,/reports/team/Michigan-State/32,5,,/box/final/20231007/lss/msu/,/box/metrics.php?gd=97052,Saturday,2023-10-07_Lake Superior_Michigan State
2023-10-07,Non-Conference,,Clarkson,/reports/team/Clarkson/14,3,Notre Dame,/reports/team/Notre-Dame/43,1,,/box/final/20231007/clk/ndm/,/box/metrics.php?gd=96879,Saturday,2023-10-07_Clarkson_Notre Dame
2023-10-07,Non-Conference,,RIT,/reports/team/RIT/49,3,St. Lawrence,/reports/team/St-Lawrence/53,4,,/box/final/20231007/rit/stl/,/box/metrics.php?gd=96878,Saturday,2023-10-07_RIT_St. Lawrence
2023-10-07,Non-Conference,,St. Thomas,/reports/team/St-Thomas/63,5,St. Cloud State,/reports/team/St-Cloud-State/52,4,ot,/box/final/20231007/stt/stc/,/box/metrics.php?gd=96687,Saturday,2023-10-07_St. Thomas_St. Cloud State
2023-10-07,Non-Conference,,American Int'l,/reports/team/American-Intl/5,3,Massachusetts,/reports/team/Massachusetts/27,5,,/box/final/20231007/aic/uma/,/box/metrics.php?gd=96439,Saturday,2023-10-07_American Int'l_Massachusetts
2023-10-07,Non-Conference,,Providence,/reports/team/Providence/46,4,Michigan,/reports/team/Michigan/31,2,,/box/final/20231007/prv/mic/,/box/metrics.php?gd=96443,Saturday,2023-10-07_Providence_Michigan
2023-10-07,Non-Conference,,Connecticut,/reports/team/Connecticut/17,4,Colgate,/reports/team/Colgate/15,2,,/box/final/20231007/con/clg/,/box/metrics.php?gd=96876,Saturday,2023-10-07_Connecticut_Colgate
2023-10-07,Non-Conference,,Stonehill,/reports/team/Stonehill/422,0,Northeastern,/reports/team/Northeastern/41,7,,/box/final/20231007/stn/noe/,/box/metrics.php?gd=96442,Saturday,2023-10-07_Stonehill_Northeastern
2023-10-07,Non-Conference,,Boston College,/reports/team/Boston-College/9,2,Quinnipiac,/reports/team/Quinnipiac/47,1,ot,/box/final/20231007/bc_/qui/,/box/metrics.php?gd=96437,Saturday,2023-10-07_Boston College_Quinnipiac
2023-10-07,Non-Conference,,Ohio State,/reports/team/Ohio-State/44,4,Mercyhurst,/reports/team/Mercyhurst/28,3,,/box/final/20231007/osu/mrc/,/box/metrics.php?gd=97201,Saturday,2023-10-07_Ohio State_Mercyhurst
