Team,Arena,Capacity,Sheet_width,Sheet_length,School,Latitude,Longitude,hex1,hex2,hex3,simp_color,logo_abv
Air Force,Cadet Ice Arena,2470,200,85,Air Force,39.0137391,-104.8837269,003087,8a8d8f,,,afa
Alaska,Carlson Center,4595,200,100,Alaska,61.1901522,-149.8279968,236192,ffcd00,,,aka
Alaska-Anchorage,Avis Alaska Sports Complex,800,200,85,Alaska-Anchorage,61.1199291,-149.8593773,00583d,ffc425,,,akf
American Int'l,MassMutual Center,6866,200,85,American Int'l,42.1180027,-72.5543263,000000,ffb60f,,,aic
Arizona State,Mullett Arena,5000,200,85,Arizona State,33.4471565,-111.9108672,8c1d40,ffc627,,,asu
Army,Tate Rink,2648,200,90,Army,42.3896485,-83.5066599,d4bf91,b2b4b3,,,arm
Bemidji State,Sanford Center,4373,200,85,Bemidji State,47.4634467,-94.8536104,004d44,d4d67c,,,bmj
Bentley,Bentley Arena,2117,200,85,Bentley,42.3848518,-71.2204876,1b5faa,88898a,,,ben
Boston College,Conte Forum (Kelley Rink),7884,200,87,Boston College,42.3355488,-71.1684945,98002e,bc9b6a,,maroon,bc_
Boston University,Agganis Arena,6300,200,90,Boston University,42.3538379,-71.1206526,cc0000,a3011b,,,bu_
Bowling Green,Slater Family Ice Arena,5000,200,85,Bowling Green,41.3790243,-83.6277666,fe5000,4f2c1d,,,bgs
Brown,Meehan Auditorium,2495,200,85,Brown,41.8267718,-71.4025482,4e3629,7c2529,,,brn
Canisius,Harborcenter,1800,200,85,Canisius,42.9237929,-78.8550954,0c2340,ffba00,,,cns
Clarkson,Cheel Arena,3000,200,85,Clarkson,44.6641888,-75.0017322,0d433b,fac922,,,clk
Colgate,Class of 1965 Arena,2100,200,85,Colgate,42.8173408,-75.5444717,821019,e10028,,,clg
Colorado College,Robson Arena,3400,200,85,Colorado College,38.8463727,-104.8226546,000000,f2af36,,,cc_
Connecticut,Toscano Forum,2600,200,85,Connecticut,41.3797568,-72.1043429,000e2f,ffffff,,,_con
Cornell,Lynah Rink,4300,200,85,Cornell,42.4453952,-76.477394,b31b1b,5e3920,,,cor
Dartmouth,Thompson Arena,4500,200,90,Dartmouth,43.7030465,-72.2840884,046a38,000000,,,dar
Denver,Magness Arena,6026,200,85,Denver,39.6821222,-104.9616342,8b233b,8b6f4b,,,den
Ferris State,Ewigleben Ice Arena,2457,200,85,Ferris State,43.6839617,-85.4852488,ba0c2f,fcc917,,,fsu
Harvard,Bright Hockey Center,2776,204,87,Harvard,42.3670806,-71.1249404,a41034,000000,,,har
Holy Cross,Hart Recreation Center,1400,200,85,Holy Cross,42.2392391,-71.8079608,602d89,ffffff,,,hcr
