Date,Conference,Home_Team,Home_Team_Link,Home_Score,Away_Team,Away_Team_Link,Away_Score,OT,Game_Notes,Day
1902-01-15,Intercollegiate,Princeton,/reports/team/Princeton/45,0,Yale,/reports/team/Yale/59,7,,"at St. Nicholas Rink, New York",Wednesday
1902-01-18,Intercollegiate,Harvard,/reports/team/Harvard/22,4,Columbia,,3,,,Saturday
1902-02-08,Intercollegiate,Brown,/reports/team/Brown/12,1,Harvard,/reports/team/Harvard/22,7,,,Saturday
1902-02-08,Non-Conference,Crescent AC,,9,Yale,/reports/team/Yale/59,2,,"at St. Nicholas Rink, New York",Saturday
1902-02-15,Intercollegiate,Harvard,/reports/team/Harvard/22,3,Yale,/reports/team/Yale/59,4,,"at St. Nicholas Rink, New York",Saturday
1902-02-15,Non-Conference,Brown,/reports/team/Brown/12,5,MIT,,0,,,Saturday
1902-03-01,Intercollegiate,Harvard,/reports/team/Harvard/22,6,Princeton,/reports/team/Princeton/45,3,,,Saturday
1902-03-06,Intercollegiate,Yale,/reports/team/Yale/59,9,Columbia,,2,,,Thursday
1902-03-14,Intercollegiate,Harvard,/reports/team/Harvard/22,3,Yale,/reports/team/Yale/59,5,,"at St. Nicholas Rink, New York",Friday
1902-03-15,Intercollegiate,Yale,/reports/team/Yale/59,4,Harvard,/reports/team/Harvard/22,1,,"at St. Nicholas Rink, New York",Saturday
1902-03-17,Intercollegiate,Harvard,/reports/team/Harvard/22,1,Yale,/reports/team/Yale/59,4,,"at St. Nicholas Rink, New York",Monday
1901-12-05,Non-Conference,Yale,/reports/team/Yale/59,4,St. Nick's,,2,,,Thursday
1901-12-14,Non-Conference,Yale,/reports/team/Yale/59,1,New York A.C.,,4,,,Saturday
1902-01-02,Non-Conference,Yale,/reports/team/Yale/59,2,Pittsburgh AC,,5,,,Thursday
1902-01-03,Non-Conference,Yale,/reports/team/Yale/59,2,Pitt. Keystones,,6,,,Friday
1902-01-04,Non-Conference,Yale,/reports/team/Yale/59,2,Bankers (Pitt.),,3,,,Saturday
1902-01-04,Non-Conference,Yale,/reports/team/Yale/59,2,All Scholastic,,0,,,Saturday
1902-01-25,Non-Conference,Brown,/reports/team/Brown/12,1,Yale,/reports/team/Yale/59,11,,"at St. Nicholas Rink, New York",Saturday
1902-01-29,Non-Conference,Yale Alumni,,3,Yale,/reports/team/Yale/59,4,,"at St. Nicholas Rink, New York",Wednesday
1902-02-01,Non-Conference,Brown,/reports/team/Brown/12,1,Andover Acad.,,7,,,Saturday
1902-02-10,Non-Conference,Yale,/reports/team/Yale/59,4,Short Hills (NJ),,2,,,Monday
1902-02-13,Non-Conference,Brown,/reports/team/Brown/12,0,Princeton,/reports/team/Princeton/45,3,,,Thursday
1902-02-22,Non-Conference,18,/reports/team/18/18,0,Yale,/reports/team/Yale/59,5,,"at St. Nicholas Rink, New York",Saturday
1902-02-25,Non-Conference,Brown,/reports/team/Brown/12,5,Columbia,,4,,,Tuesday
1902-02-28,Non-Conference,Short Hills (NJ),,4,Yale,/reports/team/Yale/59,4,,"at St. Nicholas Rink, New York",Friday
1902-03-07,Non-Conference,Heffley School,,2,Yale,/reports/team/Yale/59,7,,"at St. Nicholas Rink, New York",Friday
1903-01-14,Intercollegiate,Yale,/reports/team/Yale/59,6,Columbia,,4,,,Wednesday
1903-01-17,Intercollegiate,Harvard,/reports/team/Harvard/22,4,Princeton,/reports/team/Princeton/45,1,,,Saturday
1903-01-23,Intercollegiate,Brown,/reports/team/Brown/12,0,Yale,/reports/team/Yale/59,2,,"at St. Nicholas Rink, New York",Friday
1903-01-31,Intercollegiate,Harvard,/reports/team/Harvard/22,5,Columbia,,1,,,Saturday
1903-02-07,Intercollegiate,Princeton,/reports/team/Princeton/45,4,Yale,/reports/team/Yale/59,1,,"at St. Nicholas Rink, New York",Saturday
1903-02-21,Intercollegiate,Harvard,/reports/team/Harvard/22,3,Yale,/reports/team/Yale/59,0,,"at St. Nicholas Rink, New York",Saturday
1903-02-23,Intercollegiate,Brown,/reports/team/Brown/12,0,Harvard,/reports/team/Harvard/22,6,,"at St. Nicholas Rink, New York",Monday
1903-02-24,Intercollegiate,Yale,/reports/team/Yale/59,3,Columbia,,2,,,Tuesday
1903-02-27,Intercollegiate,Harvard,/reports/team/Harvard/22,6,Yale,/reports/team/Yale/59,2,,"at St. Nicholas Rink, New York",Friday
1903-02-28,Intercollegiate,Harvard,/reports/team/Harvard/22,5,Yale,/reports/team/Yale/59,1,,"at St. Nicholas Rink, New York",Saturday
1902-12-31,Non-Conference,Yale,/reports/team/Yale/59,3,Pitt. Keystones,,8,,,Wednesday
1902-11-30,Non-Conference,Yale,/reports/team/Yale/59,3,Pittsfield H.S.,,6,,,Sunday
1902-11-30,Non-Conference,Crescent AC,,14,Yale,/reports/team/Yale/59,0,,"at St. Nicholas Rink, New York",Sunday
1902-11-30,Non-Conference,Yale,/reports/team/Yale/59,1,New York HC,,2,,,Sunday
1903-01-01,Non-Conference,Yale,/reports/team/Yale/59,0,Bankers (Pitt.),,6,,,Thursday
1903-01-02,Non-Conference,Yale,/reports/team/Yale/59,2,Victorias,,8,,,Friday
1903-01-03,Non-Conference,Yale,/reports/team/Yale/59,1,Pittsburgh AC,,7,,,Saturday
1903-01-10,Non-Conference,MIT,,3,Harvard,/reports/team/Harvard/22,4,,,Saturday
1903-01-10,Non-Conference,Brown,/reports/team/Brown/12,1,Princeton,/reports/team/Princeton/45,7,,,Saturday
1903-01-15,Non-Conference,Hope H.S.,,2,Brown,/reports/team/Brown/12,7,,,Thursday
1903-01-20,Non-Conference,Princeton,/reports/team/Princeton/45,0,Cornell,/reports/team/Cornell/18,4,,"at St. Nicholas Rink, New York",Tuesday
1903-01-21,Non-Conference,Cornell,/reports/team/Cornell/18,0,Yale,/reports/team/Yale/59,2,,"at St. Nicholas Rink, New York",Wednesday
1903-01-24,Non-Conference,Yale,/reports/team/Yale/59,1,Short Hills (NJ),,1,ot,,Saturday
1903-02-16,Non-Conference,Brown,/reports/team/Brown/12,1,Columbia,,5,,,Monday
1903-02-17,Non-Conference,Queen's,,7,Yale,/reports/team/Yale/59,2,,"at St. Nicholas Rink, New York",Tuesday
1904-01-16,Intercollegiate,Yale,/reports/team/Yale/59,5,Columbia,,2,,,Saturday
1904-01-27,Intercollegiate,Brown,/reports/team/Brown/12,0,Yale,/reports/team/Yale/59,10,,"at St. Nicholas Rink, New York",Wednesday
1904-01-30,Intercollegiate,Harvard,/reports/team/Harvard/22,2,Columbia,,0,,,Saturday
1904-02-03,Intercollegiate,Brown,/reports/team/Brown/12,3,Harvard,/reports/team/Harvard/22,7,,,Wednesday
1904-02-15,Intercollegiate,Princeton,/reports/team/Princeton/45,3,Yale,/reports/team/Yale/59,4,,"at St. Nicholas Rink, New York",Monday
1904-02-22,Intercollegiate,Harvard,/reports/team/Harvard/22,5,Yale,/reports/team/Yale/59,2,,"at St. Nicholas Rink, New York",Monday
1904-02-27,Intercollegiate,Harvard,/reports/team/Harvard/22,4,Yale,/reports/team/Yale/59,3,,"at St. Nicholas Rink, New York",Saturday
