Date,Conference,Game_Notes,Home_Team,Home_Team_Link,Home_Score,Away_Team,Away_Team_Link,Away_Score,OT,Box_Link,Metrics_Link,Day
2002-10-01,Exhibition,,Windsor,,2,Bowling Green,/reports/team/Bowling-Green/11,5,,/box/final/20021001/win/bgs/,,Tuesday
2002-10-04,Non-Conference,"at Nutter Center, Beavercreek, Ohio",Niagara,/reports/team/Niagara/39,1,Bowling Green,/reports/team/Bowling-Green/11,4,,/box/final/20021004/nia/bgs/,,Friday
2002-10-04,Non-Conference,"at Nutter Center, Beavercreek, Ohio",Air Force,/reports/team/Air-Force/1,1,Miami,/reports/team/Miami/30,12,,/box/final/20021004/afa/mia/,,Friday
2002-10-04,Exhibition,,Waterloo,,2,Ohio State,/reports/team/Ohio-State/44,6,,/box/final/20021004/wat/osu/,,Friday
2002-10-04,Exhibition,,Royal Military,,4,Alaska-Anchorage,/reports/team/Alaska-Anchorage/3,6,,/box/final/20021004/rmc/aka/,,Friday
2002-10-04,Exhibition,,Concordia,,0,Boston University,/reports/team/Boston-University/10,2,,/box/final/20021004/cnq/bu_/,,Friday
2002-10-04,Exhibition,,St. Nick's,,2,Sacred Heart,/reports/team/Sacred-Heart/51,8,,/box/final/20021004/snk/shu/,,Friday
2002-10-04,Exhibition,,Queen's,,1,Providence,/reports/team/Providence/46,5,,/box/final/20021004/qen/prv/,,Friday
2002-10-04,Exhibition,,St. Francis Xav.,,3,Massachusetts,/reports/team/Massachusetts/27,2,,/box/final/20021004/sfx/uma/,,Friday
2002-10-04,Exhibition,,Western Ontario,,1,Lake Superior,/reports/team/Lake-Superior/24,4,,/box/final/20021004/won/lss/,,Friday
2002-10-04,Exhibition,,Toronto,,1,Notre Dame,/reports/team/Notre-Dame/43,8,,/box/final/20021004/tor/ndm/,,Friday
2002-10-04,Exhibition,,Manitoba,,2,Bemidji State,/reports/team/Bemidji-State/7,4,,/box/final/20021004/mtb/bmj/,,Friday
2002-10-05,Non-Conference,"at Nutter Center, Beavercreek, Ohio",Air Force,/reports/team/Air-Force/1,3,Niagara,/reports/team/Niagara/39,7,,/box/final/20021005/afa/nia/,,Saturday
2002-10-05,Non-Conference,"at Nutter Center, Beavercreek, Ohio",Bowling Green,/reports/team/Bowling-Green/11,1,Miami,/reports/team/Miami/30,2,,/box/final/20021005/bgs/mia/,,Saturday
2002-10-05,Non-Conference,,Northeastern,/reports/team/Northeastern/41,3,Vermont,/reports/team/Vermont/55,3,ot,/box/final/20021005/noe/uvm/,,Saturday
