Team,Player,No,Position,Position,Yr,Ht,Wt,DOB,Hometown,Position,Position,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League
Merrimack,Adam Arvedson,27,Defensemen,Defensemen,Jr,5-11,165,8/30/2001,"Karlstad, Sweden",Defensemen,Defensemen,71,,,,Färjestad BK J20,
Merrimack,Zach Bookman,37,Defensemen,Defensemen,So,5-10,178,3/29/2002,"Syracuse, N.Y.",Defensemen,Defensemen,70,,,,Brooks,AJHL
Merrimack,Mike Brown,4,Defensemen,Defensemen,Jr,6-2,202,4/3/2001,"Belmont, Mass.",Defensemen,Defensemen,74,,,,Youngstown,USHL
Merrimack,Liam Dennison,8,Defensemen,Defensemen,Gr,5-9,190,2/7/1999,"Manotick, Ont.",Defensemen,Defensemen,69,,,,Youngstown,USHL
Merrimack,Frank Djurasevic,23,Defensemen,Defensemen,Fr,6-2,198,3/9/2002,"New Rochelle, N.Y.",Defensemen,Defensemen,74,,,,Penticton,BCHL
Merrimack,Christian Felton,2,Defensemen,Defensemen,Sr,6-1,195,2/4/2000,"Medina, Ohio",Defensemen,Defensemen,73,,,,Vernon,BCHL
Merrimack,Trevor Griebel,5,Defensemen,Defensemen,So,5-10,165,3/7/2001,"Tampa, Fla.",Defensemen,Defensemen,70,,,,Fargo,USHL
Merrimack,Max Wattvil,7,Defensemen,Defensemen,Fr,6-2,192,8/11/2002,"Stockholm, Sweden",Defensemen,Defensemen,74,,,,Minnesota,NAHL
Merrimack,Ivan Zivlak,26,Defensemen,Defensemen,Jr,6-2,179,8/8/2002,"Gislaved, Sweden",Defensemen,Defensemen,74,,,,Linköping,J20 Nationell
Merrimack,Ethan Bono,20,Forwards,Forwards,Fr,6-3,201,1/15/2004,"Port McNeill, B.C.",Forwards,Forwards,75,,,,Alberni Valley,BCHL
Merrimack,Nikita Borodayenko,16,Forwards,Forwards,So,5-11,187,6/17/2002,"Dmitrov, Russia",Forwards,Forwards,71,,,,Dubuque,USHL
Merrimack,Ben Brar,18,Forwards,Forwards,Gr,6-2,184,11/19/1998,"Abbotsford, B.C.",Forwards,Forwards,74,,,,Prince George,BCHL
Merrimack,Michael Citara,22,Forwards,Forwards,Sr,5-10,175,4/22/2002,"New Hope, Pa.",Forwards,Forwards,70,,,,Providence,HEA
Merrimack,Matt Copponi,21,Forwards,Forwards,Jr,5-11,161,6/4/2003,"Mansfield, Mass.",Forwards,Forwards,71,2023,EDM,7,Dexter Southfield,NEPSAC
Merrimack,Ty Daneault,43,Forwards,Forwards,Fr,5-11,161,12/20/2004,"Red Deer, Alb.",Forwards,Forwards,71,,,,Drumheller,AJHL
Merrimack,Filip Forsmark,28,Forwards,Forwards,Gr,5-10,170,6/23/1998,"Skövde, Sweden",Forwards,Forwards,70,,,,Tri-City,USHL
Merrimack,Mark Gallant,15,Forwards,Forwards,Gr,6-0,185,5/1/2000,"Concord, Mass.",Forwards,Forwards,72,,,,Dartmouth,ECAC
Merrimack,Mark Hillier,10,Forwards,Forwards,Jr,6-1,180,3/18/2002,"Labrador City, Newf.",Forwards,Forwards,73,,,,St. Andrew's College,CISAA
Merrimack,Brady Hunter,9,Forwards,Forwards,Fr,5-8,174,7/27/2002,"Enfield, N.S.",Forwards,Forwards,68,,,,Trail,BCHL
Merrimack,Alex Jefferies,19,Forwards,Forwards,Sr,6-0,195,11/8/2001,"Lunenburg, Mass.",Forwards,Forwards,72,2020,NYI,4,The Gunnery,PREP
Merrimack,Devlin O'Brien,11,Forwards,Forwards,Jr,5-10,174,4/5/2002,"Toronto, Ont.",Forwards,Forwards,70,,,,Penticton,BCHL
Merrimack,David Sacco,24,Forwards,Forwards,Fr,6-1,194,1/3/2002,"Middleton, Mass.",Forwards,Forwards,73,,,,Alberni Valley,BCHL
Merrimack,Chase Stevenson,13,Forwards,Forwards,Gr,5-11,180,1/13/1999,"West Kelowna, B.C.",Forwards,Forwards,71,,,,New Hampshire,HEA
Merrimack,Luke Weilandt,25,Forwards,Forwards,Fr,5-10,181,4/4/2002,"Northbrook, Ill.",Forwards,Forwards,70,,,,Wenatchee,NAHL
Merrimack,Mac Welsher,17,Forwards,Forwards,Gr,5-8,175,4/24/1999,"Grosse Pointe Farms, Mich.",Forwards,Forwards,68,,,,Des Moines,USHL
Merrimack,Tyler Young,14,Forwards,Forwards,So,6-1,179,5/8/2001,"Lancaster, Mass.",Forwards,Forwards,73,,,,Maryland,NAHL
Merrimack,Steven Bacovsky,30,Goaltenders,Goaltenders,So,6-1,185,7/20/2001,"Calgary, Alb.",Goaltenders,Goaltenders,73,,,,OCN Blizzard,MJHL
Merrimack,Zachary Borgiel,29,Goaltenders,Goaltenders,Sr,6-2,205,4/27/2000,"Fort Gratiot, Mich.",Goaltenders,Goaltenders,74,,,,Cowichan Valley,BCHL
Merrimack,Hugo Ollas,1,Goaltenders,Goaltenders,Jr,6-8,238,4/24/2002,"Linköping, Sweden",Goaltenders,Goaltenders,80,2020,NYR,7,Linköping,SHL
Union,Cullen Ferguson,6,Defensemen,Defensemen,Jr,6-0,185,2/16/2001,"Binbrook, Ont.",Defensemen,Defensemen,72,,,,Aberdeen,NAHL
Union,DJ Hart,2,Defensemen,Defensemen,Fr,6-3,210,2/23/2002,"Stamford, Conn.",Defensemen,Defensemen,75,,,,Lincoln,USHL
Union,Nathan Kelly,26,Defensemen,Defensemen,Sr,6-0,185,11/22/2000,"South Delta, B.C.",Defensemen,Defensemen,72,,,,Chilliwack,BCHL
Union,Cal Mell,3,Defensemen,Defensemen,So,5-11,180,1/30/2001,"Cumming, Ga.",Defensemen,Defensemen,71,,,,Janesville,NAHL
Union,Joseph Messina,23,Defensemen,Defensemen,Fr,5-9,185,2/1/2002,"Woodbridge, Ont.",Defensemen,Defensemen,69,,,,Langley,BCHL
Union,Josh Phillips,4,Defensemen,Defensemen,Jr,6-2,185,5/24/2001,"Getzville, N.Y.",Defensemen,Defensemen,74,,,,Minnesota,NAHL
Union,Joey Potter,5,Defensemen,Defensemen,Fr,5-10,185,5/9/2003,"Los Angeles, Calif.",Defensemen,Defensemen,70,,,,Fairbanks,NAHL
Union,John Prokop,21,Defensemen,Defensemen,So,6-3,185,5/13/2001,"Wausau, Wis.",Defensemen,Defensemen,75,,,,Des Moines,USHL
Union,Nick Young,7,Defensemen,Defensemen,So,6-3,215,9/12/2001,"Raleigh, N.C.",Defensemen,Defensemen,75,,,,St. Cloud,NAHL
Union,Ethan Benz,10,Forwards,Forwards,So,6-1,190,3/29/2001,"Shakopee, Minn.",Forwards,Forwards,73,,,,St. Cloud,NAHL
Union,Brandon Buhr,14,Forwards,Forwards,So,6-2,200,7/7/2002,"Burnaby, B.C.",Forwards,Forwards,74,,,,Clarkson,ECAC
Union,Nate Hanley,24,Forwards,Forwards,So,5-11,185,5/30/2002,"Rocky Point, N.Y.",Forwards,Forwards,71,,,,Cedar Rapids,USHL
Union,Ville Immonen,18,Forwards,Forwards,Sr,6-2,200,6/18/1999,"Seinajoki, Finland",Forwards,Forwards,74,,,,Minot,NAHL
Union,Jacob Jeannette,22,Forwards,Forwards,Fr,6-1,200,12/13/2002,"Duluth, Minn.",Forwards,Forwards,73,,,,Tri-City,USHL
Union,Cole Kodsi,17,Forwards,Forwards,Gr,6-2,200,6/17/2000,"Boca Raton, Fla.",Forwards,Forwards,74,,,,Bentley,AHA
Union,Carter Korpi,12,Forwards,Forwards,So,6-0,185,7/28/2001,"South Lyon, Mich.",Forwards,Forwards,72,,,,Wichita Falls,NAHL
Union,Colby MacArthur,11,Forwards,Forwards,So,6-3,185,11/2/2001,"Summerside, P.E.I.",Forwards,Forwards,75,,,,Summerside Western,MHL
Union,Josh Nixon,15,Forwards,Forwards,Jr,5-9,175,5/9/2000,"Mississauga, Ont.",Forwards,Forwards,69,,,,Lake Superior,CCHA
Union,Eli Pilosof,20,Forwards,Forwards,Fr,5-10,180,6/10/2002,"Toronto, Ont.",Forwards,Forwards,70,,,,Pickering,OJHL
Union,Thomas Richter,9,Forwards,Forwards,Jr,6-1,175,6/6/2000,"Greenwich, Conn.",Forwards,Forwards,73,,,,Penticton,BCHL
Union,Liam Robertson,19,Forwards,Forwards,Sr,6-2,170,5/14/2000,"Courtice, Ont.",Forwards,Forwards,74,,,,Youngstown,USHL
Union,Chaz Smedsrud,8,Forwards,Forwards,Sr,6-2,195,6/4/1998,"Luverne, Minn.",Forwards,Forwards,74,,,,Madison,USHL
Union,Ben Tupker,27,Forwards,Forwards,Sr,6-3,215,12/23/1999,"Collingwood, Ont.",Forwards,Forwards,75,,,,Carleton Place,CCHL
Union,Caden Villegas,28,Forwards,Forwards,Jr,5-8,167,2/19/2001,"Plano, Texas",Forwards,Forwards,68,,,,Tri-City,USHL
Union,Tyler Watkins,13,Forwards,Forwards,Sr,5-9,175,12/19/1999,"Hermantown, Minn.",Forwards,Forwards,69,,,,Minnesota,NAHL
Union,Kyle Chauvette,36,Goaltenders,Goaltenders,So,6-1,170,10/5/2001,"Goffstown, N.H.",Goaltenders,Goaltenders,73,,,,Youngstown,USHL
Union,Aksel Reid,30,Goaltenders,Goaltenders,Fr,6-1,185,8/5/2003,"Minneapolis, Minn.",Goaltenders,Goaltenders,73,,,,Springfield,NAHL
Union,Joe Sharib,35,Goaltenders,Goaltenders,Jr,5-11,170,8/16/2001,"Natick, Mass.",Goaltenders,Goaltenders,71,,,,Connecticut ,NCDC
New Hampshire,Jack Babbage,2,Defensemen,Defensemen,Jr,6-1,192,8/30/2000,"Tully, N.Y.",Defensemen,Defensemen,73,,,,Quinnipiac,ECAC
New Hampshire,Brendan Fitzgerald,19,Defensemen,Defensemen,Fr,6-0,165,3/6/2003,"North Reading, Mass.",Defensemen,Defensemen,72,,,,Cedar Rapids,USHL
New Hampshire,Alex Gagne,28,Defensemen,Defensemen,Jr,6-4,207,8/12/2002,"Bedford, N.H.",Defensemen,Defensemen,76,2021,TBL,6,Muskegon,USHL
New Hampshire,Zach Hahn,5,Defensemen,Defensemen,Fr,6-2,205,8/6/2002,"Huntington, N.Y.",Defensemen,Defensemen,74,,,,P.A.L. Jr. Islanders,NCDC
New Hampshire,Colton Huard,20,Defensemen,Defensemen,Jr,6-3,200,11/27/2000,"Welland, Ont.",Defensemen,Defensemen,75,,,,Chicago,USHL
New Hampshire,Nikolai Jenson,8,Defensemen,Defensemen,Sr,5-11,193,7/28/2000,"Cold Spring, Minn.",Defensemen,Defensemen,71,,,,Youngstown,USHL
New Hampshire,Luis Lindner,15,Defensemen,Defensemen,Sr,5-11,170,5/16/2001,"Spittal an der Drau, AUT",Defensemen,Defensemen,71,,,,American Int'l,AHA
