School,Age_Years,year_exp,Defensemen_Age_Years,Forwards_Age_Years,Goaltenders_Age_Years,Defensemen_year_exp,Forwards_year_exp,Goaltenders_year_exp,Drafted,Team_Draft_Score,Normalized_Team_Draft_Score
Air Force,22.549942961441936,1.4666666666666666,22.50075290896646,22.661019849418206,22.22861054072553,1.4,1.5625,1.25,0,0.0,0.0
Alaska,22.78666005806132,1.4827586206896552,22.420564301467792,23.057535129041348,22.349988592288387,1.4444444444444444,1.5294117647058822,1.3333333333333333,0,0.0,0.0
Alaska Anchorage,22.611114791018082,1.3870967741935485,22.599741425203437,22.66738715371591,22.288843258042437,1.2222222222222223,1.4210526315789473,1.6666666666666667,0,0.0,0.0
American Intl,22.622480797018785,1.6388888888888888,22.781047988440186,22.667618962592627,22.006160164271048,1.8888888888888888,1.565217391304348,1.5,0,0.0,0.0
Arizona State,21.979938162335667,1.7241379310344827,21.458932238193018,22.379952848125335,20.969199178644764,1.875,1.8333333333333333,0.6666666666666666,3,8.0,0.12698412698412698
Army,22.43032832130004,1.1290322580645162,22.244490075290894,22.543615484067228,22.37006616472736,0.8,1.2222222222222223,1.6666666666666667,0,0.0,0.0
Bemidji State,22.190182849320426,1.5714285714285714,22.36337364058103,21.964750171115675,22.872918092630623,1.6666666666666667,1.5,1.6666666666666667,1,3.0,0.047619047619047616
Bentley,22.498927675108373,1.6333333333333333,22.16016427104723,22.59380941516465,22.94592744695414,1.3333333333333333,1.7777777777777777,1.6666666666666667,0,0.0,0.0
Boston College,20.642989327452025,1.2222222222222223,20.552703627652292,20.918377823408623,19.415012548482775,1.25,1.4375,0.0,11,63.0,1.0
Boston University,21.26175809132688,1.6785714285714286,20.64640657084189,21.08765685603468,24.183436002737853,1.5,1.4,3.6666666666666665,13,59.0,0.9365079365079365
Bowling Green,22.051055847085966,1.4444444444444444,21.67404365350977,22.315635083602228,21.973305954825463,1.0,1.7857142857142858,1.25,1,3.0,0.047619047619047616
Brown,21.75014751351224,1.2758620689655173,21.83436002737851,21.94645085960462,20.747433264887064,1.25,1.411764705882353,0.75,0,0.0,0.0
Canisius,23.011105959241352,2.064516129032258,23.62815008400224,22.628336755646817,22.917636322153772,2.727272727272727,1.6470588235294117,2.0,0,0.0,0.0
Clarkson,22.355464293862653,1.7037037037037037,22.532854209445585,22.167180013689254,22.88660734656628,2.125,1.5,1.6666666666666667,7,17.0,0.2698412698412698
Colgate,22.508081924919704,1.7307692307692308,23.113963039014372,22.220214464978323,22.331736253707504,2.0,1.6,1.6666666666666667,1,1.0,0.015873015873015872
Colorado College,21.746259900264004,1.5357142857142858,21.807894136436232,21.57340862422998,22.48323066392881,1.6666666666666667,1.25,2.6666666666666665,1,4.0,0.06349206349206349
Connecticut,21.90026400704019,1.6785714285714286,22.43429158110883,21.628699118250996,22.015058179329227,2.0,1.3529411764705883,2.6666666666666665,7,22.0,0.3492063492063492
Cornell,21.436589420162314,1.25,20.534154688569473,21.703308236367786,23.11111111111111,1.0,1.2666666666666666,2.0,6,19.0,0.30158730158730157
Dartmouth,21.7011909650924,1.32,21.604722792607802,21.880316808448224,21.12251882272416,1.0,1.6428571428571428,0.6666666666666666,1,1.0,0.015873015873015872
Denver,20.953087979782026,1.1153846153846154,19.969883641341546,21.207939767282685,22.30070727812001,0.75,1.2,1.6666666666666667,12,46.0,0.7301587301587301
Ferris State,22.686124963332357,1.8214285714285714,22.462696783025326,22.723517333011234,23.07004334930413,1.875,1.7647058823529411,2.0,0,0.0,0.0
Harvard,20.944339493497605,1.28,20.67145790554415,20.910726508262446,21.828884325804243,1.25,1.0714285714285714,2.3333333333333335,9,29.0,0.4603174603174603
Holy Cross,22.324232514513145,1.6296296296296295,21.846528253099095,22.468811316449923,23.034451289071413,1.4444444444444444,1.6666666666666667,2.0,0,0.0,0.0
Lake Superior,22.32224503764545,1.4,21.84476386036961,22.599186697266173,22.344512890714125,1.1,1.5294117647058822,1.6666666666666667,0,0.0,0.0
Maine,21.813775445534514,1.3333333333333333,21.275154004106778,22.039185489390828,22.047912388774808,0.75,1.5,2.0,1,8.0,0.12698412698412698
Mass Lowell,22.37989887615641,1.2580645161290323,22.206707734428473,22.494029964255837,22.272416153319643,1.3,1.0555555555555556,2.3333333333333335,1,3.0,0.047619047619047616
Massachusetts,21.816857338417915,1.5714285714285714,22.42969047075823,21.73904859685147,20.39333789641798,2.0,1.4375,1.0,11,39.0,0.6190476190476191
Mercyhurst,22.428108601414557,1.3333333333333333,22.19362689177884,22.48566430907293,22.786219484371433,1.1111111111111112,1.5,1.0,0,0.0,0.0
Merrimack,22.267790129575868,1.896551724137931,22.37767130580272,22.182711277529492,22.420260095824776,1.6666666666666667,2.0,2.0,3,6.0,0.09523809523809523
Miami,22.576216188810303,2.037037037037037,22.684006388318505,22.288843258042437,23.689710244125028,2.0,2.0,2.3333333333333335,1,3.0,0.047619047619047616
Michigan,21.557626493971462,1.7307692307692308,21.345197353410907,21.12310550503569,24.222678530686746,1.8888888888888888,1.2142857142857142,3.6666666666666665,10,51.0,0.8095238095238095
Michigan State,21.257788931984688,1.2962962962962963,20.979846376150277,21.541775039926993,20.67168605977641,1.1111111111111112,1.4666666666666666,1.0,5,25.0,0.3968253968253968
Michigan Tech,22.163267168605977,1.3666666666666667,21.93429158110883,22.23295889197568,22.53159936116815,0.8,1.6470588235294117,1.6666666666666667,1,2.0,0.031746031746031744
Minnesota,21.51874058863792,1.56,20.83299110198494,21.682800430233694,22.581793292265573,1.125,1.7857142857142858,1.6666666666666667,13,51.0,0.8095238095238095
Minnesota Duluth,21.834254725425158,1.8076923076923077,21.74469541409993,21.708236367784625,22.703171343828426,1.625,1.7333333333333334,2.6666666666666665,9,26.0,0.4126984126984127
Minnesota State,22.777498922605016,1.962962962962963,22.576659822039698,22.803559206023273,23.17408167921515,1.875,2.0625,1.6666666666666667,0,0.0,0.0
