Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2023-10-06,Exhibition,,Arizona,,0,Arizona State,/reports/team/Arizona-State/61,16,,/box/final/20231006/arz/asu/,,Friday,2023-10-06_Arizona State_Arizona
2023-10-07,Exhibition,,McGill,,0,Vermont,/reports/team/Vermont/55,4,,/box/final/20231007/mcg/ver/,,Saturday,2023-10-07_Vermont_McGill
2023-10-07,Exhibition,,Merrimack,/reports/team/Merrimack/29,3,Sacred Heart,/reports/team/Sacred-Heart/51,2,ot,/box/final/20231007/mer/sac/,,Saturday,2023-10-07_Sacred Heart_Merrimack
2023-10-07,Exhibition,,Union,/reports/team/Union/54,2,Rensselaer,/reports/team/Rensselaer/48,2,ot,/box/final/20231007/uni/ren/,,Saturday,2023-10-07_Rensselaer_Union
2023-10-07,Exhibition,,Royal Military,,3,Niagara,/reports/team/Niagara/39,8,,/box/final/20231007/rmc/nia/,,Saturday,2023-10-07_Niagara_Royal Military
2023-10-07,Exhibition,"at Alfond Arena (Waterville), Waterville, Maine",New Hampshire,/reports/team/New-Hampshire/38,2,Maine,/reports/team/Maine/25,3,,/box/final/20231007/unh/mne/,,Saturday,2023-10-07_Maine_New Hampshire
2023-10-07,Exhibition,,Western Michigan,/reports/team/Western-Michigan/57,9,US Under-18,,4,,/box/final/20231007/wmu/u18/,,Saturday,2023-10-07_US Under-18_Western Michigan
2023-10-07,Exhibition,,Manitoba,,0,North Dakota,/reports/team/North-Dakota/40,10,,/box/final/20231007/mtb/ndk/,,Saturday,2023-10-07_North Dakota_Manitoba
2023-10-07,Exhibition,,Omaha,/reports/team/Omaha/37,1,Minnesota State,/reports/team/Minnesota-State/35,0,,/box/final/20231007/uno/mns/,,Saturday,2023-10-07_Minnesota State_Omaha
2023-10-07,Exhibition,,Simon Fraser,,3,Colorado College,/reports/team/Colorado-College/16,6,,/box/final/20231007/sfr/cc_/,,Saturday,2023-10-07_Colorado College_Simon Fraser
2023-10-07,Non-Conference,,Lake Superior,/reports/team/Lake-Superior/24,2,Michigan State,/reports/team/Michigan-State/32,5,,/box/final/20231007/lss/msu/,/box/metrics.php?gd=97052,Saturday,2023-10-07_Michigan State_Lake Superior
2023-10-07,Non-Conference,,Clarkson,/reports/team/Clarkson/14,3,Notre Dame,/reports/team/Notre-Dame/43,1,,/box/final/20231007/clk/ndm/,/box/metrics.php?gd=96879,Saturday,2023-10-07_Notre Dame_Clarkson
2023-10-07,Non-Conference,,RIT,/reports/team/RIT/49,3,St. Lawrence,/reports/team/St-Lawrence/53,4,,/box/final/20231007/rit/stl/,/box/metrics.php?gd=96878,Saturday,2023-10-07_St. Lawrence_RIT
2023-10-07,Non-Conference,,St. Thomas,/reports/team/St-Thomas/63,5,St. Cloud State,/reports/team/St-Cloud-State/52,4,ot,/box/final/20231007/stt/stc/,/box/metrics.php?gd=96687,Saturday,2023-10-07_St. Cloud State_St. Thomas
2023-10-07,Non-Conference,,Boston College,/reports/team/Boston-College/9,2,Quinnipiac,/reports/team/Quinnipiac/47,1,ot,/box/final/20231007/bc_/qui/,/box/metrics.php?gd=96437,Saturday,2023-10-07_Quinnipiac_Boston College
2023-10-07,Non-Conference,,Ohio State,/reports/team/Ohio-State/44,4,Mercyhurst,/reports/team/Mercyhurst/28,3,,/box/final/20231007/osu/mrc/,/box/metrics.php?gd=97201,Saturday,2023-10-07_Mercyhurst_Ohio State
2023-10-07,Non-Conference,,Connecticut,/reports/team/Connecticut/17,4,Colgate,/reports/team/Colgate/15,2,,/box/final/20231007/con/clg/,/box/metrics.php?gd=96876,Saturday,2023-10-07_Colgate_Connecticut
2023-10-07,Non-Conference,,American Int'l,/reports/team/American-Intl/5,3,Massachusetts,/reports/team/Massachusetts/27,5,,/box/final/20231007/aic/uma/,/box/metrics.php?gd=96439,Saturday,2023-10-07_Massachusetts_American Int'l
2023-10-07,Non-Conference,,Providence,/reports/team/Providence/46,4,Michigan,/reports/team/Michigan/31,2,,/box/final/20231007/prv/mic/,/box/metrics.php?gd=96443,Saturday,2023-10-07_Michigan_Providence
2023-10-07,Non-Conference,,Stonehill,/reports/team/Stonehill/422,0,Northeastern,/reports/team/Northeastern/41,7,,/box/final/20231007/stn/noe/,/box/metrics.php?gd=96442,Saturday,2023-10-07_Northeastern_Stonehill
2023-10-07,Non-Conference,,Penn State,/reports/team/Penn-State/60,3,Long Island,/reports/team/Long-Island/62,2,,/box/final/20231007/psu/liu/,/box/metrics.php?gd=97447,Saturday,2023-10-07_Long Island_Penn State
2023-10-07,Non-Conference,,Lindenwood,/reports/team/Lindenwood/433,1,Air Force,/reports/team/Air-Force/1,4,,/box/final/20231007/lin/afa/,/box/metrics.php?gd=97200,Saturday,2023-10-07_Air Force_Lindenwood
2023-10-07,Non-Conference,,Bowling Green,/reports/team/Bowling-Green/11,3,Robert Morris,/reports/team/Robert-Morris/50,0,,/box/final/20231007/bgs/rmu/,/box/metrics.php?gd=97054,Saturday,2023-10-07_Robert Morris_Bowling Green
2023-10-07,Non-Conference,,Boston University,/reports/team/Boston-University/10,3,Bentley,/reports/team/Bentley/8,2,ot,/box/final/20231007/bu_/ben/,/box/metrics.php?gd=96438,Saturday,2023-10-07_Bentley_Boston University
2023-10-07,Non-Conference,,Miami,/reports/team/Miami/30,4,Ferris State,/reports/team/Ferris-State/21,5,ot,/box/final/20231007/mia/fsu/,/box/metrics.php?gd=96685,Saturday,2023-10-07_Ferris State_Miami
2023-10-07,Non-Conference,,Augustana,/reports/team/Augustana/64,0,Wisconsin,/reports/team/Wisconsin/58,4,,/box/final/20231007/aug/wis/,/box/metrics.php?gd=97055,Saturday,2023-10-07_Wisconsin_Augustana
2023-10-07,Non-Conference,,Mass.-Lowell,/reports/team/Mass-Lowell/26,2,Alaska-Anchorage,/reports/team/Alaska-Anchorage/3,3,ot,/box/final/20231007/uml/aka/,/box/metrics.php?gd=96440,Saturday,2023-10-07_Alaska-Anchorage_Mass.-Lowell
2023-10-07,Non-Conference,US Hockey Hall of Fame Game,Michigan Tech,/reports/team/Michigan-Tech/33,2,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,2,ot,/box/final/20231007/mtu/mnd/,/box/metrics.php?gd=96686,Saturday,2023-10-07_Minnesota-Duluth_Michigan Tech
2023-10-07,Non-Conference,,Denver,/reports/team/Denver/20,7,Alaska,/reports/team/Alaska/4,3,,/box/final/20231007/den/akf/,/box/metrics.php?gd=96688,Saturday,2023-10-07_Alaska_Denver
2023-10-08,Non-Conference,,Union,/reports/team/Union/54,6,Army,/reports/team/Army/6,0,,/box/final/20231008/uni/arm/,/box/metrics.php?gd=96882,Sunday,2023-10-08_Army_Union
2023-10-08,Non-Conference,,Connecticut,/reports/team/Connecticut/17,3,Colgate,/reports/team/Colgate/15,3,ot,/box/final/20231008/con/clg/,/box/metrics.php?gd=96880,Sunday,2023-10-08_Colgate_Connecticut
2023-10-08,Non-Conference,,Lake Superior,/reports/team/Lake-Superior/24,2,Michigan State,/reports/team/Michigan-State/32,4,,/box/final/20231008/lss/msu/,/box/metrics.php?gd=97056,Sunday,2023-10-08_Michigan State_Lake Superior
2023-10-08,Non-Conference,,Providence,/reports/team/Providence/46,4,Michigan,/reports/team/Michigan/31,5,,/box/final/20231008/prv/mic/,/box/metrics.php?gd=96448,Sunday,2023-10-08_Michigan_Providence
2023-10-08,Non-Conference,,St. Cloud State,/reports/team/St-Cloud-State/52,1,St. Thomas,/reports/team/St-Thomas/63,0,,/box/final/20231008/stc/stt/,/box/metrics.php?gd=96694,Sunday,2023-10-08_St. Thomas_St. Cloud State
2023-10-08,Non-Conference,,Clarkson,/reports/team/Clarkson/14,0,Notre Dame,/reports/team/Notre-Dame/43,3,,/box/final/20231008/clk/ndm/,/box/metrics.php?gd=96883,Sunday,2023-10-08_Notre Dame_Clarkson
2023-10-08,Non-Conference,,Miami,/reports/team/Miami/30,5,Ferris State,/reports/team/Ferris-State/21,2,,/box/final/20231008/mia/fsu/,/box/metrics.php?gd=96693,Sunday,2023-10-08_Ferris State_Miami
2023-10-08,Non-Conference,,Robert Morris,/reports/team/Robert-Morris/50,3,Bowling Green,/reports/team/Bowling-Green/11,0,,/box/final/20231008/rmu/bgs/,/box/metrics.php?gd=97057,Sunday,2023-10-08_Bowling Green_Robert Morris
2023-10-08,Non-Conference,,Augustana,/reports/team/Augustana/64,0,Wisconsin,/reports/team/Wisconsin/58,3,,/box/final/20231008/aug/wis/,/box/metrics.php?gd=97058,Sunday,2023-10-08_Wisconsin_Augustana
2023-10-08,Non-Conference,,Long Island,/reports/team/Long-Island/62,2,Holy Cross,/reports/team/Holy-Cross/23,5,,/box/final/20231008/liu/hcr/,/box/metrics.php?gd=97204,Sunday,2023-10-08_Holy Cross_Long Island
2023-10-08,Non-Conference,,Lindenwood,/reports/team/Lindenwood/433,4,Air Force,/reports/team/Air-Force/1,3,ot,/box/final/20231008/lin/afa/,/box/metrics.php?gd=97203,Sunday,2023-10-08_Air Force_Lindenwood
2023-10-08,Non-Conference,,Mass.-Lowell,/reports/team/Mass-Lowell/26,2,Alaska-Anchorage,/reports/team/Alaska-Anchorage/3,1,,/box/final/20231008/uml/aka/,/box/metrics.php?gd=96446,Sunday,2023-10-08_Alaska-Anchorage_Mass.-Lowell
2023-10-08,Non-Conference,,Denver,/reports/team/Denver/20,5,Alaska,/reports/team/Alaska/4,2,,/box/final/20231008/den/akf/,/box/metrics.php?gd=96695,Sunday,2023-10-08_Alaska_Denver
2023-10-08,Exhibition,,Guelph,,4,Rensselaer,/reports/team/Rensselaer/48,6,,/box/final/20231008/gue/ren/,,Sunday,2023-10-08_Rensselaer_Guelph
2023-10-08,Exhibition,,Canisius,/reports/team/Canisius/13,5,Niagara,/reports/team/Niagara/39,2,,/box/final/20231008/cns/nia/,,Sunday,2023-10-08_Niagara_Canisius
2023-10-08,Exhibition,,Massachusetts,/reports/team/Massachusetts/27,5,Dartmouth,/reports/team/Dartmouth/19,1,,/box/final/20231008/uma/dar/,,Sunday,2023-10-08_Dartmouth_Massachusetts
2023-10-08,Exhibition,,Quinnipiac,/reports/team/Quinnipiac/47,2,Northeastern,/reports/team/Northeastern/41,2,ot,/box/final/20231008/qui/noe/,,Sunday,2023-10-08_Northeastern_Quinnipiac
2023-10-08,Exhibition,,Ottawa,,2,Sacred Heart,/reports/team/Sacred-Heart/51,8,,/box/final/20231008/ott/sac/,,Sunday,2023-10-08_Sacred Heart_Ottawa
2023-10-08,Exhibition,,Bemidji State,/reports/team/Bemidji-State/7,2,Minnesota,/reports/team/Minnesota/34,5,,/box/final/20231008/bmj/min/,,Sunday,2023-10-08_Minnesota_Bemidji State
2023-10-09,Exhibition,,Guelph,,4,RIT,/reports/team/RIT/49,6,,/box/final/20231009/gue/rit/,,Monday,2023-10-09_RIT_Guelph
2023-10-12,Non-Conference,,Ferris State,/reports/team/Ferris-State/21,4,Western Michigan,/reports/team/Western-Michigan/57,6,,/box/final/20231012/fsu/wmu/,/box/metrics.php?gd=96696,Thursday,2023-10-12_Western Michigan_Ferris State
2023-10-12,Non-Conference,,Rensselaer,/reports/team/Rensselaer/48,1,Maine,/reports/team/Maine/25,4,,/box/final/20231012/ren/mne/,/box/metrics.php?gd=97572,Thursday,2023-10-12_Maine_Rensselaer
2023-10-12,Non-Conference,,Michigan State,/reports/team/Michigan-State/32,5,Air Force,/reports/team/Air-Force/1,6,,/box/final/20231012/msu/afa/,/box/metrics.php?gd=97207,Thursday,2023-10-12_Air Force_Michigan State
2023-10-13,Non-Conference,,Vermont,/reports/team/Vermont/55,3,St. Lawrence,/reports/team/St-Lawrence/53,1,,/box/final/20231013/ver/stl/,/box/metrics.php?gd=96455,Friday,2023-10-13_St. Lawrence_Vermont
2023-10-13,Non-Conference,,Michigan,/reports/team/Michigan/31,7,Massachusetts,/reports/team/Massachusetts/27,2,,/box/final/20231013/mic/uma/,/box/metrics.php?gd=96453,Friday,2023-10-13_Massachusetts_Michigan
2023-10-13,Non-Conference,,Penn State,/reports/team/Penn-State/60,4,Clarkson,/reports/team/Clarkson/14,2,,/box/final/20231013/psu/clk/,/box/metrics.php?gd=96886,Friday,2023-10-13_Clarkson_Penn State
2023-10-13,Non-Conference,,Rensselaer,/reports/team/Rensselaer/48,3,Maine,/reports/team/Maine/25,6,,/box/final/20231013/ren/mne/,/box/metrics.php?gd=96452,Friday,2023-10-13_Maine_Rensselaer
2023-10-13,Non-Conference,,Connecticut,/reports/team/Connecticut/17,1,Holy Cross,/reports/team/Holy-Cross/23,2,,/box/final/20231013/con/hcr/,/box/metrics.php?gd=96451,Friday,2023-10-13_Holy Cross_Connecticut
2023-10-13,Non-Conference,,Colgate,/reports/team/Colgate/15,3,Sacred Heart,/reports/team/Sacred-Heart/51,2,,/box/final/20231013/clg/sac/,/box/metrics.php?gd=96884,Friday,2023-10-13_Sacred Heart_Colgate
2023-10-13,Non-Conference,,Stonehill,/reports/team/Stonehill/422,1,Providence,/reports/team/Providence/46,7,,/box/final/20231013/stn/prv/,/box/metrics.php?gd=96462,Friday,2023-10-13_Providence_Stonehill
2023-10-13,Non-Conference,,Long Island,/reports/team/Long-Island/62,2,Boston College,/reports/team/Boston-College/9,4,,/box/final/20231013/liu/bc_/,/box/metrics.php?gd=96449,Friday,2023-10-13_Boston College_Long Island
2023-10-13,Non-Conference,,Lindenwood,/reports/team/Lindenwood/433,2,Ohio State,/reports/team/Ohio-State/44,4,,/box/final/20231013/lin/osu/,/box/metrics.php?gd=97551,Friday,2023-10-13_Ohio State_Lindenwood
2023-10-13,Non-Conference,,Quinnipiac,/reports/team/Quinnipiac/47,3,American Int'l,/reports/team/American-Intl/5,2,ot,/box/final/20231013/qui/aic/,/box/metrics.php?gd=96885,Friday,2023-10-13_American Int'l_Quinnipiac
2023-10-13,Non-Conference,,Canisius,/reports/team/Canisius/13,2,Miami,/reports/team/Miami/30,4,,/box/final/20231013/cns/mia/,/box/metrics.php?gd=96697,Friday,2023-10-13_Miami_Canisius
2023-10-13,Non-Conference,,Alaska-Anchorage,/reports/team/Alaska-Anchorage/3,1,Lake Superior,/reports/team/Lake-Superior/24,5,,/box/final/20231013/aka/lss/,/box/metrics.php?gd=97060,Friday,2023-10-13_Lake Superior_Alaska-Anchorage
2023-10-13,Non-Conference,,Alaska,/reports/team/Alaska/4,4,Michigan Tech,/reports/team/Michigan-Tech/33,1,,/box/final/20231013/akf/mtu/,/box/metrics.php?gd=97059,Friday,2023-10-13_Michigan Tech_Alaska
2023-10-13,Non-Conference,,Western Michigan,/reports/team/Western-Michigan/57,3,Ferris State,/reports/team/Ferris-State/21,3,ot,/box/final/20231013/wmu/fsu/,/box/metrics.php?gd=96698,Friday,2023-10-13_Ferris State_Western Michigan
2023-10-13,Non-Conference,Ice Breaker Tournament,Wisconsin,/reports/team/Wisconsin/58,4,Bemidji State,/reports/team/Bemidji-State/7,3,ot,/box/final/20231013/wis/bmj/,/box/metrics.php?gd=96703,Friday,2023-10-13_Bemidji State_Wisconsin
2023-10-13,Non-Conference,Ice Breaker Tournament,Army,/reports/team/Army/6,2,North Dakota,/reports/team/North-Dakota/40,7,,/box/final/20231013/arm/ndk/,/box/metrics.php?gd=96702,Friday,2023-10-13_North Dakota_Army
2023-10-13,Non-Conference,,Niagara,/reports/team/Niagara/39,1,Omaha,/reports/team/Omaha/37,8,,/box/final/20231013/nia/uno/,/box/metrics.php?gd=96701,Friday,2023-10-13_Omaha_Niagara
2023-10-13,Non-Conference,,St. Cloud State,/reports/team/St-Cloud-State/52,2,Minnesota State,/reports/team/Minnesota-State/35,3,ot,/box/final/20231013/stc/mns/,/box/metrics.php?gd=96700,Friday,2023-10-13_Minnesota State_St. Cloud State
2023-10-13,Non-Conference,,Northern Michigan,/reports/team/Northern-Michigan/42,5,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,5,ot,/box/final/20231013/nmu/mnd/,/box/metrics.php?gd=96699,Friday,2023-10-13_Minnesota-Duluth_Northern Michigan
