Referee,GameCount,TotalPenaltyMinutes,TotalPenaltyCount,AvgPenaltyMinutesPerGame,AvgPenaltyCountPerGame,Minor_Minutes,Misconduct_Minutes,Stick Infractions_Minutes,Illegal Contact_Minutes,Physical Aggressiveness_Minutes,Game Flow Disruptions_Minutes,Contact to the Head_Minutes,None_Minutes
Michael Sheehan,2,67,32,33.5,16.0,47,,14.0,10.0,13.0,10.0,,
William Brennan III,1,30,15,30.0,15.0,20,,6.0,8.0,2.0,4.0,,
Tom Dellafranco,2,89,28,44.5,14.0,40,,4.0,14.0,8.0,4.0,10.0,
Brad LeBlanc,1,28,14,28.0,14.0,22,,6.0,4.0,2.0,10.0,,
Sterling Egan,4,129,56,32.25,14.0,85,,24.0,18.0,20.0,18.0,5.0,
Marty Hughes,1,28,14,28.0,14.0,22,,6.0,4.0,2.0,10.0,,
Stan Szczurek,2,89,28,44.5,14.0,40,,4.0,14.0,8.0,4.0,10.0,
AJ Potvin,3,83,40,27.666666666666668,13.333333333333334,64,,30.0,12.0,20.0,2.0,,
Peter Schlittenhardt,3,100,39,33.333333333333336,13.0,51,,16.0,12.0,12.0,6.0,5.0,
Deric Boehm,1,37,13,37.0,13.0,15,,2.0,2.0,2.0,4.0,5.0,
Jeremy Tufts,3,100,39,33.333333333333336,13.0,51,,16.0,12.0,12.0,6.0,5.0,
Andy Bethmann,1,37,13,37.0,13.0,23,,2.0,4.0,6.0,6.0,5.0,
Cameron Lynch,2,63,26,31.5,13.0,34,,16.0,12.0,2.0,4.0,,
Jonathon Sitarski,2,61,25,30.5,12.5,41,,10.0,4.0,6.0,16.0,5.0,
Steven Rouillard,2,50,25,25.0,12.5,32,,12.0,6.0,12.0,2.0,,
Brett DesRosiers,2,61,25,30.5,12.5,51,,6.0,8.0,19.0,18.0,,
Bruce Vida,1,32,12,32.0,12.0,18,10.0,4.0,4.0,6.0,4.0,,
Michael Forys,2,48,24,24.0,12.0,32,,8.0,10.0,4.0,10.0,,
Justin Hills,2,70,24,35.0,12.0,31,10.0,4.0,6.0,15.0,6.0,,
Nathan Wieler,2,70,24,35.0,12.0,31,10.0,4.0,6.0,15.0,6.0,,
Robert Lukkason,2,62,24,31.0,12.0,38,,10.0,8.0,7.0,8.0,5.0,
Ryan Hersey,2,59,24,29.5,12.0,37,,12.0,8.0,6.0,2.0,9.0,
Anthony Vikhter,2,59,24,29.5,12.0,37,,12.0,8.0,6.0,2.0,9.0,
Shane Paskey,2,48,24,24.0,12.0,32,,8.0,10.0,4.0,10.0,,
Steve Mclnchak,1,32,12,32.0,12.0,18,10.0,4.0,4.0,6.0,4.0,,
Chris Leavitt,2,70,24,35.0,12.0,30,,6.0,4.0,2.0,8.0,10.0,
Mason Riley,2,55,22,27.5,11.0,41,,6.0,19.0,12.0,4.0,,
Nicholas Krebsbach,2,63,22,31.5,11.0,34,10.0,6.0,14.0,6.0,8.0,,
Jake Rekucki,2,63,22,31.5,11.0,27,10.0,10.0,4.0,6.0,2.0,5.0,
William McGoldrick III,3,66,33,22.0,11.0,56,,24.0,6.0,20.0,6.0,,
Andrew Wilk,2,63,22,31.5,11.0,34,10.0,6.0,14.0,6.0,8.0,,
Chris Pitoscia,1,33,11,33.0,11.0,14,,10.0,4.0,,,,
Andy OBrien,1,33,11,33.0,11.0,15,,4.0,2.0,,4.0,5.0,
