Season_Year,Team,Conference
1901,18,None
1901,All Scholastic,None
1901,Andover Acad.,None
1901,Bankers (Pitt.),None
1901,Brown,Intercollegiate
1901,Columbia,Intercollegiate
1901,Crescent AC,None
1901,Harvard,Intercollegiate
1901,Heffley School,None
1901,MIT,None
1901,New York A.C.,None
1901,Pitt. Keystones,None
1901,Pittsburgh AC,None
1901,Princeton,Intercollegiate
1901,Short Hills (NJ),None
1901,St. Nick's,None
1901,Yale,Intercollegiate
1901,Yale Alumni,None
1902,Bankers (Pitt.),None
1902,Brown,Intercollegiate
1902,Columbia,Intercollegiate
1902,Cornell,None
1902,Crescent AC,None
1902,Harvard,Intercollegiate
1902,Hope H.S.,None
1902,MIT,None
1902,New York HC,None
1902,Pitt. Keystones,None
1902,Pittsburgh AC,None
1902,Pittsfield H.S.,None
1902,Princeton,Intercollegiate
1902,Queen's,None
1902,Short Hills (NJ),None
1902,Victorias,None
1902,Yale,Intercollegiate
1903,18,None
1903,Andover Acad.,None
1903,Army,None
1903,Brown,Intercollegiate
1903,Columbia,Intercollegiate
1903,Harvard,Intercollegiate
1903,Holbrook,None
1903,Kingston Militar,None
1903,Mohegan Lake Sch,None
1903,New York HC,None
1903,Newburgh Academy,None
1903,Newburgh Alumni,None
1903,Pittsburgh AC,None
1903,Princeton,Intercollegiate
1903,Riverview A.C.,None
1903,Yale,Intercollegiate
1903,Yale Alumni,None
1904,All Scholastic,None
1904,Army,None
1904,Brooklyn Poly. I,None
1904,Brown,Intercollegiate
1904,Columbia,Intercollegiate
1904,"Essex Troop, NJN",None
1904,Harvard,Intercollegiate
1904,Hope H.S.,None
1904,MIT,None
1904,Mohegan Lake Sch,None
1904,New York A.C.,None
1904,Newburgh Academy,None
1904,Newburgh Alumni,None
1904,Princeton,Intercollegiate
1904,Riverview M.A.,None
1904,St. Paul's Schoo,None
1904,Toronto,None
1904,Yale,Intercollegiate
1904,Yale Alumni,None
1905,48,None
1905,Andover Acad.,None
1905,Army,None
1905,Berkeley,None
1905,Brooklyn Poly. I,None
1905,Brown,Intercollegiate
1905,Carnegie Tech,None
1905,Columbia,Intercollegiate
1905,Harvard,Intercollegiate
1905,Kingston Militar,None
1905,New York HC,None
1905,Princeton,Intercollegiate
1905,St. Paul's Schoo,None
1905,Trinity,None
1905,Yale,Intercollegiate
1906,49,None
1906,Albany H.S,None
1906,Army,None
1906,Carnegie Tech,None
1906,Columbia,Intercollegiate
1906,Cornell,None
