Color,Hex_Code,Team,color_level
Purple,#4f2170;,Abilene Christian Wildcats,1
White,#ffffff;,Abilene Christian Wildcats,2
Gray,#c5c6c8;,Abilene Christian Wildcats,3
Blue,#003087;,Air Force Falcons,1
Silver,#8A8D8F;,Air Force Falcons,2
BLUE ,#041E42;,Akron Zips,1
GOLD ,#A89968;,Akron Zips,2
WHITE,#FFFFFF;,Akron Zips,3
Maroon,#660000;,Alabama A&M Bulldogs,1
White,#ffffff;,Alabama A&M Bulldogs,2
 Crimson,#9e1b32;,Alabama Crimson Tide,1
Gray,#828a8f;,Alabama Crimson Tide,2
White,#ffffff;,Alabama Crimson Tide,3
Old Gold,#C99700;,Alabama State Hornets,1
Black,#000000;,Alabama State Hornets,2
Blue,#143d8d;,American Eagles Colors,1
Red,#c41230;,American Eagles Colors,2
White,#FFFFFF;,American Eagles Colors,3
Purple ,#461660;,Albany Great Danes,1
Gold ,#eeb211;,Albany Great Danes,2
Gold,#ce8e00;,Alcorn State Braves,1
Purple,#4b306a;,Alcorn State Braves,2
Black ,#222222;,Appalachian State Mountaineers,1
YELLOW ,#ffcc00;,Appalachian State Mountaineers,2
Red,#CC0033;,Arizona Wildcats,1
Navy,#003366;,Arizona Wildcats,2
Maroon,#8C1D40;,Arizona State Sun Devils,1
Gold,#FFC627;,Arizona State Sun Devils,2
Gold,#EEB310;,Arkansas Golden Lions,1
Red,#E31837;,Arkansas Golden Lions,2
White,#ffffff;,Arkansas Golden Lions,3
Black,#000000;,Arkansas Golden Lions,4
Maroon,#6e2639;,Arkansas Little-Rock Trojans,1
Silver,#A7A9AC;,Arkansas Little-Rock Trojans,2
Cardinal Red,#9D2235;,Arkansas Razorbacks,1
White,#FFFFFF;,Arkansas Razorbacks,2
Scarlett ,#cc092f;,Arkansas State Red Wolves,1
Black ,#000000;,Arkansas State Red Wolves,2
US ARMY GOLD ,#FFD530;,Army Black Knights,1
GOLD ATHLETICS ,#D4BF91;,Army Black Knights,2
GRAY ,#B2B4B3;,Army Black Knights,3
BLACK,#000000;,Army Black Knights,4
WHITE,#FFFFFF;,Army Black Knights,5
Red,#C41E3A;,Austin Peay Governors,1
White,#ffffff;,Austin Peay Governors,2
Gray,#ADAFAA;,Austin Peay Governors,3
Black,#000000;,Austin Peay Governors,4
Auburn Blue,#0C2340;,Auburn Tigers,1
Auburn Orange,#E87722;,Auburn Tigers,2
CARDINAL RED ,#BA0C2F;,Ball State Cardinals,1
BLACK,#000000;,Ball State Cardinals,2
WHITE,#FFFFFF;,Ball State Cardinals,3
Baylor Green,#003015;,Baylor Bears,1
Baylor Gold,#Fecb00;,Baylor Bears,2
Yellow,#F2A900;,B-C Wildcats,1
Burgundy,#6F263D;,B-C Wildcats,2
White,#ffffff;,B-C Wildcats,3
Red,#C8102E;,Belmont Bruins,1
Dark Blue,#00205B;,Belmont Bruins,2
White,#ffffff;,Belmont Bruins,3
Black,#000000;,Belmont Bruins,4
Deep Green ,#005A43;,Binghamton Bearcats,1
Green ,#169B62;,Binghamton Bearcats,2
RED ,#BF0D3E;,Binghamton Bearcats,3
COOL GRAY ,#B1B3B3;,Binghamton Bearcats,4
Orange,#D64309;,Boise State Broncos,1
Blue,#0033A0;,Boise State Broncos,2
Maroon,#98002E;,Boston College Eagles,1
Gold,#BC9B6A;,Boston College Eagles,2
Gray,#726158;,Boston College Eagles,3
Red,#CC0000;,Boston University Terriers,1
Dark Red,#A3011B;,Boston University Terriers,2
Dark Grey,#231F20;,Boston University Terriers,3
Grey,#929497;,Boston University Terriers,4
Light Grey,#E6E6E7;,Boston University Terriers,5
White,#ffffff;,Boston University Terriers,6
ORANGE ,#FE5000;,Bowling Green Falcons,1
BROWN ,#4F2C1D;,Bowling Green Falcons,2
TAN ,#CDA077;,Bowling Green Falcons,3
BLACK,#000000;,Bowling Green Falcons,4
Bradley Red ,#A50000;,Bradley Braves,1
KABOOM GRAY ,#999999;,Bradley Braves,2
WHITE,#FFFFFF;,Bradley Braves,3
BROWN BEARS DARK BROWN ,#4E3629;,Brown Bears,1
BROWN BEARS LIGHT BROWN ,#7C2529;,Brown Bears,2
BROWN BEARS RED ,#E4002B;,Brown Bears,3
BLACK,#000000;,Brown Bears,4
Gold,#b4975b;,Bryant Bulldogs,1
Light Gold,#c9bb8c;,Bryant Bulldogs,2
Gray,#818286;,Bryant Bulldogs,3
Black,#000000;,Bryant Bulldogs,4
Orange,#E87722;,Bucknell Bison,1
