Team,Goalie,SV,GA,Minutes,Game_ID,Total_Minutes,TimeDelta,Home_Team,Away_Team
Sacred Heart,EMPTY NET,0,2,0:45,2021-10-02-Sacred Heart-Connecticut,0.75,0 days 00:00:45,Connecticut,Sacred Heart
Sacred Heart,Josh Benson,22,4,59:15,2021-10-02-Sacred Heart-Connecticut,59.25,0 days 00:59:15,Connecticut,Sacred Heart
Connecticut,Darion Hanson,31,3,60:00,2021-10-02-Sacred Heart-Connecticut,60.0,0 days 01:00:00,Connecticut,Sacred Heart
Miami,Ludvig Persson,26,4,60:00,2021-10-02-Miami-Ferris State,60.0,0 days 01:00:00,Ferris State,Miami
Ferris State,EMPTY NET,0,1,1:51,2021-10-02-Miami-Ferris State,1.85,0 days 00:01:51,Ferris State,Miami
Ferris State,Logan Stein,15,6,58:09,2021-10-02-Miami-Ferris State,58.15,0 days 00:58:09,Ferris State,Miami
Bentley,EMPTY NET,0,1,0:55,2021-10-02-Bentley-Northeastern,0.9166666666666666,0 days 00:00:55,Northeastern,Bentley
Bentley,Nicholas Grabko,32,3,59:05,2021-10-02-Bentley-Northeastern,59.083333333333336,0 days 00:59:05,Northeastern,Bentley
Northeastern,EMPTY NET,0,0,0:11,2021-10-02-Bentley-Northeastern,0.18333333333333332,0 days 00:00:11,Northeastern,Bentley
Northeastern,Devon Levi,29,0,59:49,2021-10-02-Bentley-Northeastern,59.81666666666667,0 days 00:59:49,Northeastern,Bentley
Minnesota State,Dryden McKay,18,0,60:00,2021-10-02-Minnesota State-Massachusetts,60.0,0 days 01:00:00,Massachusetts,Minnesota State
Massachusetts,EMPTY NET,0,0,1:44,2021-10-02-Minnesota State-Massachusetts,1.7333333333333334,0 days 00:01:44,Massachusetts,Minnesota State
Massachusetts,Matt Murray,30,2,58:16,2021-10-02-Minnesota State-Massachusetts,58.266666666666666,0 days 00:58:16,Massachusetts,Minnesota State
Lake Superior,EMPTY NET,0,0,0:27,2021-10-02-Lake Superior-Omaha,0.45,0 days 00:00:27,Omaha,Lake Superior
Lake Superior,Seth Eisele,39,3,62:41,2021-10-02-Lake Superior-Omaha,62.68333333333333,0 days 01:02:41,Omaha,Lake Superior
Omaha,Isaiah Saville,13,4,63:08,2021-10-02-Lake Superior-Omaha,63.13333333333333,0 days 01:03:08,Omaha,Lake Superior
Minnesota State,EMPTY NET,0,0,0:18,2021-10-03-Minnesota State-Massachusetts,0.3,0 days 00:00:18,Massachusetts,Minnesota State
Minnesota State,Dryden McKay,19,3,59:42,2021-10-03-Minnesota State-Massachusetts,59.7,0 days 00:59:42,Massachusetts,Minnesota State
Massachusetts,Matt Murray,39,6,60:00,2021-10-03-Minnesota State-Massachusetts,60.0,0 days 01:00:00,Massachusetts,Minnesota State
Miami,EMPTY NET,0,0,0:46,2021-10-03-Miami-Ferris State,0.7666666666666667,0 days 00:00:46,Ferris State,Miami
Miami,Logan Neaton,29,4,61:02,2021-10-03-Miami-Ferris State,61.03333333333333,0 days 01:01:02,Ferris State,Miami
Ferris State,EMPTY NET,0,1,0:20,2021-10-03-Miami-Ferris State,0.3333333333333333,0 days 00:00:20,Ferris State,Miami
Ferris State,Logan Stein,27,2,61:28,2021-10-03-Miami-Ferris State,61.46666666666667,0 days 01:01:28,Ferris State,Miami
Mass. Lowell,Owen Savory,24,2,60:00,2021-10-03-Mass. Lowell-Arizona State,60.0,0 days 01:00:00,Arizona State,Mass. Lowell
Arizona State,EMPTY NET,0,1,0:33,2021-10-03-Mass. Lowell-Arizona State,0.55,0 days 00:00:33,Arizona State,Mass. Lowell
Arizona State,Ben Kraws,33,3,59:27,2021-10-03-Mass. Lowell-Arizona State,59.45,0 days 00:59:27,Arizona State,Mass. Lowell
St. Cloud State,David Hrenak,12,0,60:00,2021-10-03-St. Cloud State-St. Thomas,60.0,0 days 01:00:00,St. Thomas,St. Cloud State
St. Thomas,EMPTY NET,0,0,1:21,2021-10-03-St. Cloud State-St. Thomas,1.35,0 days 00:01:21,St. Thomas,St. Cloud State
St. Thomas,Peter Thome,34,2,58:39,2021-10-03-St. Cloud State-St. Thomas,58.65,0 days 00:58:39,St. Thomas,St. Cloud State
Lake Superior,EMPTY NET,0,1,1:16,2021-10-03-Lake Superior-Omaha,1.2666666666666666,0 days 00:01:16,Omaha,Lake Superior
Lake Superior,Ethan Langenegger,26,2,58:44,2021-10-03-Lake Superior-Omaha,58.733333333333334,0 days 00:58:44,Omaha,Lake Superior
